Mes_Pasta,Estacao,Arquivo,DOY,Data,Mes_Arquivo
VERAO,BRAZ,braz016_delays.txt,16,2020-01-16,January
VERAO,BRAZ,braz024_delays.txt,24,2020-01-24,January
VERAO,BRAZ,braz009_delays.txt,9,2020-01-09,January
VERAO,BRAZ,braz020_delays.txt,20,2020-01-20,January
VERAO,BRAZ,braz023_delays.txt,23,2020-01-23,January
VERAO,BRAZ,braz027_delays.txt,27,2020-01-27,January
VERAO,BRAZ,braz018_delays.txt,18,2020-01-18,January
VERAO,BRAZ,braz004_delays.txt,4,2020-01-04,January
VERAO,BRAZ,braz002_delays.txt,2,2020-01-02,January
VERAO,BRAZ,braz026_delays.txt,26,2020-01-26,January
VERAO,BRAZ,braz006_delays.txt,6,2020-01-06,January
VERAO,BRAZ,braz030_delays.txt,30,2020-01-30,January
VERAO,BRAZ,braz010_delays.txt,10,2020-01-10,January
VERAO,BRAZ,braz025_delays.txt,25,2020-01-25,January
VERAO,BRAZ,braz017_delays.txt,17,2020-01-17,January
VERAO,BRAZ,braz008_delays.txt,8,2020-01-08,January
VERAO,BRAZ,braz031_delays.txt,31,2020-01-31,January
VERAO,BRAZ,braz001_delays.txt,1,2020-01-01,January
VERAO,BRAZ,braz014_delays.txt,14,2020-01-14,January
VERAO,BRAZ,braz013_delays.txt,13,2020-01-13,January
VERAO,BRAZ,braz005_delays.txt,5,2020-01-05,January
VERAO,BRAZ,braz029_delays.txt,29,2020-01-29,January
VERAO,BRAZ,braz015_delays.txt,15,2020-01-15,January
VERAO,BRAZ,braz022_delays.txt,22,2020-01-22,January
VERAO,BRAZ,braz012_delays.txt,12,2020-01-12,January
VERAO,BRAZ,braz011_delays.txt,11,2020-01-11,January
VERAO,BRAZ,braz019_delays.txt,19,2020-01-19,January
VERAO,BRAZ,braz028_delays.txt,28,2020-01-28,January
VERAO,BRAZ,braz007_delays.txt,7,2020-01-07,January
VERAO,BRAZ,braz003_delays.txt,3,2020-01-03,January
VERAO,BRAZ,braz021_delays.txt,21,2020-01-21,January
VERAO,CUIB,cuib023_delays.txt,23,2020-01-23,January
VERAO,CUIB,cuib004_delays.txt,4,2020-01-04,January
VERAO,CUIB,cuib013_delays.txt,13,2020-01-13,January
VERAO,CUIB,cuib017_delays.txt,17,2020-01-17,January
VERAO,CUIB,cuib025_delays.txt,25,2020-01-25,January
VERAO,CUIB,cuib030_delays.txt,30,2020-01-30,January
VERAO,CUIB,cuib003_delays.txt,3,2020-01-03,January
VERAO,CUIB,cuib012_delays.txt,12,2020-01-12,January
VERAO,CUIB,cuib022_delays.txt,22,2020-01-22,January
VERAO,CUIB,cuib028_delays.txt,28,2020-01-28,January
VERAO,CUIB,cuib024_delays.txt,24,2020-01-24,January
VERAO,CUIB,cuib014_delays.txt,14,2020-01-14,January
VERAO,CUIB,cuib008_delays.txt,8,2020-01-08,January
VERAO,CUIB,cuib020_delays.txt,20,2020-01-20,January
VERAO,CUIB,cuib021_delays.txt,21,2020-01-21,January
VERAO,CUIB,cuib005_delays.txt,5,2020-01-05,January
VERAO,CUIB,cuib007_delays.txt,7,2020-01-07,January
VERAO,CUIB,cuib029_delays.txt,29,2020-01-29,January
VERAO,CUIB,cuib006_delays.txt,6,2020-01-06,January
VERAO,CUIB,cuib002_delays.txt,2,2020-01-02,January
VERAO,CUIB,cuib027_delays.txt,27,2020-01-27,January
VERAO,CUIB,cuib010_delays.txt,10,2020-01-10,January
VERAO,CUIB,cuib019_delays.txt,19,2020-01-19,January
VERAO,CUIB,cuib016_delays.txt,16,2020-01-16,January
VERAO,CUIB,cuib009_delays.txt,9,2020-01-09,January
VERAO,CUIB,cuib031_delays.txt,31,2020-01-31,January
VERAO,CUIB,cuib001_delays.txt,1,2020-01-01,January
VERAO,CUIB,cuib018_delays.txt,18,2020-01-18,January
VERAO,CUIB,cuib011_delays.txt,11,2020-01-11,January
VERAO,CUIB,cuib026_delays.txt,26,2020-01-26,January
