Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U
BRAZ,VERAO,1,2020-01-01,0.1802412708347866,0.1593317085609265,0.11095440514270932
BRAZ,VERAO,4,2020-01-01,0.20214726145805018,0.18040362658549264,0.11511198279474728
BRAZ,VERAO,30,2020-01-29,0.21909702920993793,0.19691657408811966,0.12421558630233664
BRAZ,VERAO,13,2020-01-15,0.1292084791668061,0.1543208168653066,0.10343554977017112
BRAZ,VERAO,22,2020-01-22,0.21064178460461813,0.19440008724244848,0.1261342416523025
BRAZ,VERAO,17,2020-01-15,0.1682970995743204,0.1551584206096004,0.09612600437556808
BRAZ,VERAO,12,2020-01-15,0.16680219171198218,0.17311982374197682,0.11083926368337162
BRAZ,VERAO,5,2020-01-08,0.16098734825283964,0.1356483424550156,0.09486935060913054
BRAZ,VERAO,15,2020-01-15,0.1486386796309334,0.1905452732639914,0.12670855188784436
BRAZ,VERAO,11,2020-01-08,0.17013599590633352,0.18744075674923988,0.11861535520583136
BRAZ,VERAO,19,2020-01-22,0.17654308506909924,0.17032908550350506,0.11335338342392891
BRAZ,VERAO,7,2020-01-08,0.2155220545676753,0.2109122755925846,0.11432917244980506
BRAZ,VERAO,21,2020-01-22,0.14899999163962951,0.1337589649161646,0.10376426401797756
BRAZ,VERAO,3,2020-01-01,0.19239204562143558,0.1941990935547293,0.1134631359375503
BRAZ,VERAO,16,2020-01-15,0.1642709157740909,0.16880542763816306,0.11498916076122488
BRAZ,VERAO,14,2020-01-15,0.13359836138833128,0.16466399042469548,0.10611776819762779
BRAZ,VERAO,28,2020-01-29,0.1928904715924744,0.18769043547971098,0.10947597875111105
BRAZ,VERAO,23,2020-01-22,0.1602936038492059,0.16346723016874132,0.10825779145400634
BRAZ,VERAO,20,2020-01-22,0.16813797464524158,0.1496609830677564,0.11794816949330438
BRAZ,VERAO,2,2020-01-01,0.18157925769585662,0.18491686404078708,0.10468532096280164
BRAZ,VERAO,31,2020-01-29,2.630488676075742,3.6697827499994835,2.089213089830961
BRAZ,VERAO,26,2020-01-29,0.13804803237135846,0.15598265881032602,0.0955105311036665
BRAZ,VERAO,6,2020-01-08,0.18906790459130374,0.1802198246099137,0.09578344013127306
BRAZ,VERAO,9,2020-01-08,0.16853367019007884,0.15836985254307012,0.10114553849445004
BRAZ,VERAO,27,2020-01-29,0.161970903919351,0.17951696371271192,0.11118657984139267
BRAZ,VERAO,29,2020-01-29,0.1882650316366854,0.20567919089788048,0.12120207111100492
BRAZ,VERAO,24,2020-01-22,0.16345728858829978,0.16548221606186286,0.11250392409106397
BRAZ,VERAO,18,2020-01-15,0.1678569662088012,0.15506879321274547,0.10497431202370876
BRAZ,VERAO,10,2020-01-08,0.26343967636932075,0.2650004176233003,0.1490734541626305
BRAZ,VERAO,8,2020-01-08,0.1418086604141831,0.14320975717590056,0.09087366698790325
BRAZ,VERAO,25,2020-01-22,0.1714388331327634,0.17423196382382747,0.10079775651093337
CUIB,VERAO,23,2020-01-22,0.12837128153167263,0.20930318071413706,0.08102761391578864
CUIB,VERAO,21,2020-01-22,0.12013483419498866,0.1806008363134009,0.05527754549207604
CUIB,VERAO,4,2020-01-01,0.13352213873826516,0.2099562899058629,0.08031113852754333
CUIB,VERAO,15,2020-01-15,0.13947338287155742,0.2028184621698819,0.07153051334303827
CUIB,VERAO,16,2020-01-15,0.12348526121142271,0.2134823582867717,0.08072148409104077
CUIB,VERAO,2,2020-01-01,0.1322830023534266,0.18951053679024363,0.05796598782536233
CUIB,VERAO,5,2020-01-08,0.1354373206181462,0.23699963004318006,0.0835812406041099
CUIB,VERAO,12,2020-01-15,0.13069265764890958,0.19441499253278446,0.060142917029618354
CUIB,VERAO,7,2020-01-08,0.11933199058659415,0.19880107523546653,0.0634008651462842
CUIB,VERAO,31,2020-01-29,2.1526081818506055,4.742115896593247,1.9909441461747295
CUIB,VERAO,25,2020-01-22,0.10682603518922687,0.15133975250561055,0.05622704945016106
CUIB,VERAO,1,2020-01-01,0.11675655658432989,0.19547372573663735,0.060664234966882336
CUIB,VERAO,14,2020-01-15,0.16323587620908342,0.2468564493105442,0.093325290051358
CUIB,VERAO,17,2020-01-15,0.06168629504450416,0.1123091583179946,0.03258976749246766
CUIB,VERAO,24,2020-01-22,0.13598367423946556,0.19424349530207474,0.08592085107499134
CUIB,VERAO,22,2020-01-22,0.123556685528272,0.20238275986701842,0.07818595491499603
CUIB,VERAO,27,2020-01-29,0.16291735214711653,0.22862666240324875,0.09411267814006652
CUIB,VERAO,6,2020-01-08,0.10768098376988379,0.20065128073654015,0.07197697601941672
CUIB,VERAO,8,2020-01-08,0.11407179251757023,0.17109143364148796,0.05542463592605045
CUIB,VERAO,11,2020-01-08,0.12178109055412985,0.21168067770874166,0.06732008883695886
CUIB,VERAO,30,2020-01-29,0.1267631508468961,0.17725928387299275,0.07538146549689305
CUIB,VERAO,28,2020-01-29,0.07271561539473274,0.14370846704014306,0.04530846525881562
CUIB,VERAO,20,2020-01-22,0.09126501453648801,0.13294852379197333,0.03964961595475356
