Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U
BRAZ,VERAO,1,2020-01-01,0.3324565384884905,0.2751184558198656,0.10347706577603571
BRAZ,VERAO,4,2020-01-01,0.2299626193386422,0.29951400745900225,0.17191065396545951
BRAZ,VERAO,30,2020-01-29,0.16005945352852227,0.3051408757838283,0.23021702031312682
BRAZ,VERAO,13,2020-01-15,0.24322053740492708,0.1718732904358676,0.21960947210329784
BRAZ,VERAO,22,2020-01-22,0.2958166845428714,0.28704345214758215,0.19494061828668904
BRAZ,VERAO,17,2020-01-15,0.5227414074020382,0.75871320061071,0.3672567803660517
BRAZ,VERAO,12,2020-01-15,0.3452465671576872,0.3935888271924266,0.13749887425174842
BRAZ,VERAO,5,2020-01-08,0.16733678920695133,0.4767036619744852,0.18862470310717247
BRAZ,VERAO,15,2020-01-15,0.33782056784169306,0.31731925579554454,0.22815369957667514
BRAZ,VERAO,11,2020-01-08,0.31851599081473164,0.20402322367496048,0.17558110573230953
BRAZ,VERAO,19,2020-01-22,0.2651334188412377,0.6537822330739531,0.34712125772988367
BRAZ,VERAO,7,2020-01-08,0.2695531774155112,0.3397227913308314,0.23571722785394617
BRAZ,VERAO,21,2020-01-22,0.19734691832203177,0.27136148188040454,0.20204302205223873
BRAZ,VERAO,3,2020-01-01,0.19292465508484566,0.18638181362568476,0.16228551611691733
BRAZ,VERAO,16,2020-01-15,0.5119926754813114,0.5092182654946091,0.3589057763423766
BRAZ,VERAO,14,2020-01-15,0.26815708023428575,0.23012942883415835,0.1716437891640222
BRAZ,VERAO,28,2020-01-29,0.49767921217173183,0.5027434229834039,0.14833322203506297
BRAZ,VERAO,23,2020-01-22,0.2717051572823983,0.4667616584596282,0.2268287272273155
BRAZ,VERAO,20,2020-01-22,0.24715224498779814,0.3850386708532484,0.292652759980372
BRAZ,VERAO,2,2020-01-01,0.4002078487363286,0.13915937983064536,0.15038815723709031
BRAZ,VERAO,31,2020-01-29,0.21818318153880006,0.43616194394208607,0.21555653071390268
BRAZ,VERAO,26,2020-01-29,0.1604082752408565,0.35710233348920883,0.1554716705819839
BRAZ,VERAO,6,2020-01-08,0.3290881646797188,0.3192332829210587,0.17493981379758425
BRAZ,VERAO,9,2020-01-08,0.2536719599962696,0.29970355573318974,0.15665483631460522
BRAZ,VERAO,27,2020-01-29,0.1920533244872848,0.33427179689322023,0.16930536257900572
BRAZ,VERAO,29,2020-01-29,0.21993340509639442,0.6889909145490954,0.20906670926645796
BRAZ,VERAO,24,2020-01-22,0.15552716193848132,0.3553442766211945,0.24397213320088942
BRAZ,VERAO,18,2020-01-15,0.2641495259516737,0.502486816809993,0.21050196519368952
BRAZ,VERAO,10,2020-01-08,0.20744698005681048,0.26886626023066545,0.21596004153597373
BRAZ,VERAO,8,2020-01-08,0.15348383791025427,0.24186441158435504,0.26100383303600033
BRAZ,VERAO,25,2020-01-22,0.2427653471758754,0.2867360787731633,0.1056121499825656
CUIB,VERAO,23,2020-01-22,0.44071367640058484,0.2093419235632257,0.2332917944307625
CUIB,VERAO,21,2020-01-22,0.5594876917114304,0.3821547688308908,0.21641001081690106
CUIB,VERAO,4,2020-01-01,0.4611705725319627,0.1602306905649775,0.07075382364520778
CUIB,VERAO,15,2020-01-15,0.3354615638529573,0.3506141144415412,0.20329397603972318
CUIB,VERAO,16,2020-01-15,0.24455047626488877,0.18325643859788968,0.06264836671420793
CUIB,VERAO,2,2020-01-01,0.42366493703875385,0.25204679705939537,0.08157881294822668
CUIB,VERAO,5,2020-01-08,0.46726484562879583,0.22615070910948398,0.08387284604278407
CUIB,VERAO,12,2020-01-15,0.2679282801326232,0.26921076998581445,0.1477023799536569
CUIB,VERAO,7,2020-01-08,0.4381828998057719,0.21985912515234152,0.14689602749150152
CUIB,VERAO,31,2020-01-29,0.2591991869389248,0.26818007654396653,0.24527810989981993
CUIB,VERAO,25,2020-01-22,0.22208760170252398,0.3069203535777097,0.17639713482298508
CUIB,VERAO,1,2020-01-01,0.4520592850098674,0.27459553724524133,0.0939565670073256
