Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
BRAZ,VERAO,1,2020-01-01,0.12424431485054516,0.15476609067152913,0.39690782968296956,0.19846710708434628
BRAZ,VERAO,20,2020-01-22,,,,
BRAZ,VERAO,4,2020-01-01,0.1880766700892001,0.1260432976683849,0.3476851638840944,0.22640615433102276
BRAZ,VERAO,30,2020-01-29,0.21038468523544884,0.19234459147855792,0.30078514179918087,0.2850581653850179
BRAZ,VERAO,13,2020-01-15,0.1268266685876374,0.17055381863141847,0.30290488458175385,0.2125408405808098
BRAZ,VERAO,22,2020-01-22,0.20154718096112859,0.17534950660325796,0.36950586370631616,0.2671492384780161
BRAZ,VERAO,17,2020-01-15,0.22359586318563188,0.19979595661101388,0.9454460895294938,0.29985585589052277
BRAZ,VERAO,12,2020-01-15,0.10889245062211182,0.1397491570427733,0.5114937973707214,0.17716487433081868
BRAZ,VERAO,5,2020-01-08,0.30656096368896507,0.11183244591902969,0.42934967167345683,0.32632211144533196
BRAZ,VERAO,15,2020-01-15,0.1468133915756743,0.1738225565616213,0.4637886411615485,0.2275268184534964
BRAZ,VERAO,11,2020-01-08,0.17828655208583621,0.17041001944171785,0.3362751366259648,0.24662860616883486
BRAZ,VERAO,12,2020-01-15,,,,
BRAZ,VERAO,19,2020-01-22,0.31746757245049084,0.1882762095129936,0.6942524864999736,0.3690983481759141
BRAZ,VERAO,7,2020-01-08,0.14440049103286495,0.2047879881583305,0.425256957623376,0.25057857431246794
BRAZ,VERAO,21,2020-01-22,,,,
BRAZ,VERAO,23,2020-01-22,,,,
BRAZ,VERAO,21,2020-01-22,0.07163559979230577,0.20811716925117985,0.32397504145351325,0.22010092070395262
BRAZ,VERAO,3,2020-01-01,0.17100707452919756,0.12454223347864439,0.23138821117865252,0.2115518552480306
BRAZ,VERAO,16,2020-01-15,0.17703178893648086,0.17640667362609705,0.766676939237055,0.24991912450605902
BRAZ,VERAO,22,2020-01-22,,,,
BRAZ,VERAO,4,2020-01-01,,,,
BRAZ,VERAO,3,2020-01-01,,,,
BRAZ,VERAO,19,2020-01-22,,,,
BRAZ,VERAO,14,2020-01-15,0.1805073707034751,0.1283115132044336,0.32447281666543826,0.22146502048651684
BRAZ,VERAO,18,2020-01-15,,,,
BRAZ,VERAO,9,2020-01-08,,,,
BRAZ,VERAO,6,2020-01-08,,,,
BRAZ,VERAO,28,2020-01-29,0.202488512138556,0.14020451777663578,0.6795435144177181,0.24629028473138181
BRAZ,VERAO,23,2020-01-22,0.1782122535893968,0.3137454702144615,0.4614602717330001,0.3608265891110368
BRAZ,VERAO,5,2020-01-08,,,,
BRAZ,VERAO,28,2020-01-29,,,,
BRAZ,VERAO,29,2020-01-29,,,,
BRAZ,VERAO,25,2020-01-22,,,,
BRAZ,VERAO,24,2020-01-22,,,,
BRAZ,VERAO,10,2020-01-08,,,,
BRAZ,VERAO,20,2020-01-22,0.25950057602051113,0.2566537446158292,0.40221008763924565,0.36498177157264217
BRAZ,VERAO,17,2020-01-15,,,,
BRAZ,VERAO,2,2020-01-01,0.3015706935003013,0.0964840662618711,0.3192087010115794,0.31662921251943543
BRAZ,VERAO,31,2020-01-29,0.24127918219672528,0.13875390162630022,0.4547938774929853,0.2783312576374446
BRAZ,VERAO,26,2020-01-29,0.24976538708834495,0.0957882906191754,0.32537084456909016,0.2675035424197863
BRAZ,VERAO,16,2020-01-15,,,,
BRAZ,VERAO,6,2020-01-08,0.32741129057825147,0.11356428257227236,0.34744474097917305,0.3465472543164513
BRAZ,VERAO,13,2020-01-15,,,,
BRAZ,VERAO,9,2020-01-08,0.11323300262751297,0.08498798855806235,0.39833120799785976,0.14157920427516074
BRAZ,VERAO,27,2020-01-29,0.1587527867424765,0.11642367866434826,0.3721955120505989,0.19686777352385953
BRAZ,VERAO,29,2020-01-29,0.3246308582934675,0.0676510516080998,0.6758892017127988,0.33160497423898083
BRAZ,VERAO,26,2020-01-29,,,,
BRAZ,VERAO,24,2020-01-22,0.22580977973097105,0.2115270476926643,0.3380042992018693,0.3094087079054569
BRAZ,VERAO,2,2020-01-01,,,,
BRAZ,VERAO,18,2020-01-15,0.16421225919841856,0.19596047600589966,0.5488286401521255,0.2556680938785819
BRAZ,VERAO,10,2020-01-08,0.15127050470757455,0.18184893885696896,0.32559215716513223,0.23654133287417226
BRAZ,VERAO,1,2020-01-01,,,,
