Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
BRAZ,VERAO,1,2020-01-01,0.14591143483951174,0.15141050301161887,0.3178318100795052,0.2102743142639075
BRAZ,VERAO,20,2020-01-22,,,,
BRAZ,VERAO,4,2020-01-01,0.16831219597320002,0.1250893949693615,0.4270226867866258,0.2097053934621659
BRAZ,VERAO,30,2020-01-29,0.22845476544301072,0.2336186518599825,0.6422003352280243,0.3267556493015794
BRAZ,VERAO,13,2020-01-15,0.12486813373652773,0.2711434624841677,0.38198191432828266,0.2985143682819081
BRAZ,VERAO,22,2020-01-22,0.22690851195497208,0.24654008468481486,0.8917849830219312,0.3350663906661117
BRAZ,VERAO,17,2020-01-15,0.2616760515969515,0.2044648172104752,1.0662302319215062,0.3320846540511673
BRAZ,VERAO,12,2020-01-15,0.11358501610050967,0.23086058605034004,0.6256293312891378,0.2572900427028988
BRAZ,VERAO,5,2020-01-08,0.2568031152100192,0.12363393906005483,0.26905876671394735,0.28501436958349263
BRAZ,VERAO,15,2020-01-15,0.17803294740018843,0.2928924557746589,0.5045113545785701,0.3427560663353878
BRAZ,VERAO,11,2020-01-08,0.17851149758959337,0.24720935489188364,0.5503188907867128,0.304924285549283
BRAZ,VERAO,12,2020-01-15,,,,
BRAZ,VERAO,19,2020-01-22,0.3532017092405147,0.2376816438277282,1.0216612395199514,0.42572762562825556
BRAZ,VERAO,7,2020-01-08,0.24660255961585548,0.24624621409027425,0.39751901258342626,0.34849680107984454
BRAZ,VERAO,21,2020-01-22,,,,
BRAZ,VERAO,23,2020-01-22,,,,
BRAZ,VERAO,21,2020-01-22,0.11540484944866154,0.21517559318828547,0.5060721422566175,0.24416964426439
BRAZ,VERAO,3,2020-01-01,0.16366082717676422,0.1267322551687851,0.35695731683608,0.20699258646712146
BRAZ,VERAO,16,2020-01-15,0.1397071887732004,0.2114112523245458,0.7859826626184034,0.25340247868626586
BRAZ,VERAO,22,2020-01-22,,,,
BRAZ,VERAO,4,2020-01-01,,,,
BRAZ,VERAO,3,2020-01-01,,,,
BRAZ,VERAO,19,2020-01-22,,,,
BRAZ,VERAO,14,2020-01-15,0.1550419027250554,0.16348739188446834,0.4045435955120035,0.2253133793315241
BRAZ,VERAO,18,2020-01-15,,,,
BRAZ,VERAO,9,2020-01-08,,,,
BRAZ,VERAO,6,2020-01-08,,,,
BRAZ,VERAO,28,2020-01-29,0.2831827078640918,0.24065024561810594,1.000366417190704,0.3716247929690567
BRAZ,VERAO,23,2020-01-22,0.4073713721814983,0.32181179520161046,1.0406870866893396,0.5191476344970861
BRAZ,VERAO,5,2020-01-08,,,,
BRAZ,VERAO,28,2020-01-29,,,,
BRAZ,VERAO,29,2020-01-29,,,,
BRAZ,VERAO,25,2020-01-22,,,,
BRAZ,VERAO,24,2020-01-22,,,,
BRAZ,VERAO,10,2020-01-08,,,,
BRAZ,VERAO,20,2020-01-22,0.5184373475291464,0.3017221193458293,1.192085110756208,0.5998445803836155
BRAZ,VERAO,17,2020-01-15,,,,
