Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
BRAZ,VERAO,1,2020-01-01,0.07728694429353002,0.03809599804565317,0.18365758360742876,0.08616598415457008
BRAZ,VERAO,2,2020-01-01,0.0941379013728176,0.04060967560128814,0.1655541360878904,0.10252360814622255
BRAZ,VERAO,3,2020-01-01,0.06853658444596283,0.03524555736055971,0.16685765325392238,0.07706823419006757
BRAZ,VERAO,4,2020-01-01,0.05793752443418475,0.034181280407628876,0.15864097571590838,0.06726898741520276
BRAZ,VERAO,5,2020-01-08,0.06169764806518647,0.05204436649499932,0.16719379049967012,0.08071688708468269
BRAZ,VERAO,6,2020-01-08,0.05826599052624978,0.03350509054403959,0.13404512063206472,0.06721247461869946
BRAZ,VERAO,7,2020-01-08,0.05484450658593199,0.02758670193093034,0.1343800013821075,0.06139174232810414
BRAZ,VERAO,8,2020-01-08,0.057444422712572774,0.03590801230738005,0.16317218679361709,0.06774398164152816
BRAZ,VERAO,9,2020-01-08,0.0574237621205335,0.03494256567992817,0.1652958422806332,0.06721957566343091
BRAZ,VERAO,10,2020-01-08,0.04802024500053485,0.03519011564451442,0.1554632713605425,0.059533924521953795
BRAZ,VERAO,11,2020-01-08,0.057658360526407465,0.03332311380383405,0.19007193146555237,0.06659516838462426
BRAZ,VERAO,12,2020-01-15,0.0709753828187327,0.036011549528198857,0.1549923809341078,0.07958854607094902
BRAZ,VERAO,13,2020-01-15,0.060659643767678344,0.04048734276348429,0.15293953848119607,0.0729302221720838
BRAZ,VERAO,14,2020-01-15,0.05900693044221103,0.03912555244381641,0.15536639677980163,0.07079990603274668
BRAZ,VERAO,15,2020-01-15,0.06592176428737236,0.042418239714228013,0.147559528140684,0.07838996152067937
BRAZ,VERAO,16,2020-01-15,0.05599799798632524,0.04794108868211899,0.13045996421401598,0.07371650942972872
BRAZ,VERAO,17,2020-01-15,0.04994776289473312,0.04060768134294431,0.15421028181424895,0.06437206538739135
BRAZ,VERAO,18,2020-01-15,0.05132402326187613,0.04170818248306924,0.1442288724363861,0.06613416552604717
BRAZ,VERAO,19,2020-01-22,0.05250679301701492,0.03558168249640934,0.12215063432310742,0.06342727679955154
BRAZ,VERAO,20,2020-01-22,0.07094818812242275,0.04780665919512372,0.1596031913388267,0.08555186766665819
