Estacao_,Mes_,Tempo_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.508833991516125,1.5384412563181358,1.00264,7.645291,2.5321987222178333,1.5827067734185762,1.002643,7.921035,2.5321987222178333,1.5827067734185762,1.002643,7.921035,2.0255816832481877,0.00047089357284815705,2.024006,2.027373,0.23258598650831272,0.01620333636791819,0.12972,0.355757,2.258167668663647,0.016242298764342397,2.15564,2.380681,-5.756067611176945,18.65279770948027,-56.914245,53.204323,11.121183558553222,20.14808541211211,0.0,52.780949,5.671809430649918,3.487924163830314,2.255646,17.860087,5.671809430649919
BRAZ,VERAO,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5028260690682265,1.5298031694948135,1.002664,7.645056,2.525929032461577,1.5736848963881014,1.002668,7.920778,2.525929032461577,1.5736848963881014,1.002668,7.920778,2.025528446879842,0.0004164695035897496,2.023552,2.027392,0.2527085891257502,0.020381798997467088,0.078997,0.30314,2.278237036829264,0.020397024818642924,2.104757,2.328359,-8.90528389006429,22.618383430881345,-60.336985,21.804802,3.8082616181011915,10.831731414651463,-50.848501,28.733759,5.708825443148831,3.4995278261580425,2.289814,17.878364,5.708825443148829
BRAZ,VERAO,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5071567428546317,1.5381534265774643,1.002688,7.644645,2.5304996231894887,1.5824797910710837,1.002692,7.920329,2.5304996231894887,1.5824797910710837,1.002692,7.920329,2.0255078573387237,0.0004073872442570202,2.023979,2.02734,0.25537137242046054,0.017895730858598715,0.030342,0.280322,2.2808792282914396,0.0179263895020716,2.055933,2.305537,0.12700066411935312,6.615059630310386,-15.85444,52.197315,19.050704684030585,35.332513016024585,0.0,85.095705,5.724716435871858,3.520572802541105,2.280374,17.671923,5.724716435871858
BRAZ,VERAO,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5043939968060958,1.5358873309971781,1.002714,7.64541,2.527654697300579,1.5801345879595579,1.002717,7.921175,2.527654697300579,1.5801345879595579,1.002717,7.921175,2.0254772798669647,0.00038513606293597995,2.024237,2.027103,0.2645382183997044,0.02559782801345977,-0.01985,0.304651,2.290015498420645,0.025611541800530963,2.00535,2.329871,-7.56448711655551,13.91275532364147,-43.472375,26.698692,9.958387884830273,19.015400914543314,-30.591535,48.84245,5.740627955206151,3.5273834292890065,2.224068,17.825448,5.7406279552061505
BRAZ,VERAO,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5043137292007747,1.5365629320269272,1.002739,7.64546,2.5275912584631635,1.5808837690036874,1.002743,7.921235,2.5275912584631635,1.5808837690036874,1.002743,7.921235,2.025430916006514,0.0003459785777178068,2.023718,2.026912,0.2668219429319602,0.019775941387926405,0.014195,0.301597,2.292252861244609,0.01977749817835582,2.039789,2.32638,-2.021188507090045,21.71708087959679,-45.609573,43.755187,10.638517497654258,21.1402315424271,-59.709494,51.236349,5.746721486396444,3.534420346348885,2.242093,17.835154,5.746721486396445
BRAZ,VERAO,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5361794062675527,1.554833733371605,1.002766,7.643318,2.560261259471054,1.5999075765234059,1.00277,7.918867,2.560261259471054,1.5999075765234059,1.00277,7.918867,2.025525353019504,0.0004047055889053258,2.024053,2.027217,0.24321558040227773,0.029900108801782538,-0.125348,0.298772,2.2687409329569443,0.029929726311514238,1.900446,2.324158,-1.1260157482035986,15.64473236618004,-29.539193,90.121474,14.800702292150065,26.357184006002342,-32.586708,64.895151,5.760065731706727,3.539964190928031,2.067854,17.571871,5.760065731706727
BRAZ,VERAO,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5038636430974948,1.5372280961989,1.002794,7.645824,2.527154489918431,1.5816357009185105,1.002798,7.921642,2.527154489918431,1.5816357009185105,1.002798,7.921642,2.025536779350622,0.0004045400596855938,2.024448,2.027508,0.2529965944425848,0.019848438811595447,0.048925,0.301553,2.2785333813202495,0.01988845910730527,2.074774,2.326763,-6.872137848062964,11.107656978250862,-30.140285,12.013949,-8.43592172479828,15.540157621753725,-71.167926,0.0,5.712169629915261,3.5176519050538406,2.224804,17.866332,5.712169629915261
BRAZ,VERAO,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501609062928588,1.5341477255382248,1.002823,7.645097,2.5248005824254762,1.5783675159336061,1.002827,7.920836,2.5248005824254762,1.5783675159336061,1.002827,7.920836,2.025515080473143,0.0004092827510461669,2.02427,2.027223,0.25405053634512664,0.03132558891147696,-0.109375,0.359547,2.2795656196564247,0.03130935328529263,1.916432,2.384953,-13.918311677565358,27.74120140669918,-81.551227,24.009313,20.999483646112083,39.65390359976283,-33.787186,103.525105,5.7079514592610225,3.5082701533371536,2.040632,17.82423,5.7079514592610225
BRAZ,VERAO,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4920364328717244,1.5288120867477604,1.002852,7.645648,2.51499271962327,1.5728039024902107,1.002856,7.921446,2.51499271962327,1.5728039024902107,1.002856,7.921446,2.0254897093367354,0.00039842858067734317,2.02416,2.027473,0.2351284843088264,0.019532039439051182,0.119725,0.290126,2.2606181951207627,0.019514043299047334,2.14522,2.315329,-14.225948510543477,29.048938728913555,-82.470412,0.0,-9.457803521432496,17.953508308506375,-99.969403,0.0,5.639144918974713,3.467420308961771,2.267876,17.717237,5.639144918974715
BRAZ,VERAO,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4986119616871085,1.5307715391518182,1.002882,7.645277,2.521688866941675,1.5747956057289108,1.002886,7.921042,2.521688866941675,1.5747956057289108,1.002886,7.921042,2.0255172133945116,0.0003999493345451758,2.024259,2.027419,0.1995633162004765,0.01942135184666654,-0.070084,0.259861,2.2250805251963293,0.01941668607547852,1.955492,2.285038,1.2355208981337686,8.525312314119544,-15.221458,27.278907,3.917689350410306,8.29119137327296,-43.03689,21.300348,5.5641265653533925,3.415406845128807,2.038161,17.346295,5.564126565353394
BRAZ,VERAO,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4957704215872374,1.525671735642428,1.00291,7.645747,2.5186866520359152,1.5692785558334144,1.002914,7.921557,2.5186866520359152,1.5692785558334144,1.002914,7.921557,2.025523094542934,0.0004561731128481384,2.023892,2.027636,0.1540316389384281,0.02961736969449385,-0.162316,0.209278,2.1795547288859853,0.029503527022438785,1.863751,2.234408,1.3655237411005952,9.279143613037093,-14.023505,61.066838,4.319420090084403,9.1664379042248,0.0,72.675969,5.442564880140554,3.3305272930634233,1.931677,17.095198,5.442564880140555
BRAZ,VERAO,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5019696476809328,1.5268320135567615,1.002937,7.644288,2.5249456373668258,1.5700838996425355,1.002941,7.919947,2.5249456373668258,1.5700838996425355,1.002941,7.919947,2.025589682526635,0.00047414197866817897,2.024525,2.027543,0.12394205443607641,0.022075625706551933,-0.169118,0.229414,2.1495317441724833,0.022088401431120907,1.856998,2.254811,-3.983618423847355,6.734517172363007,-18.878688,41.111476,-2.72128690625,6.8416310405821426,-57.5141,0.0,5.381146448769288,3.289014057711682,1.916314,16.88037,5.381146448769288
