Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5011669420375053,1.5261093471435438,1.00264,7.645847,2.5241392705939822,1.5695042325846813,1.002643,7.921684,2.5241392705939822,1.5695042325846813,1.002643,7.921684,2.025526487998348,0.000420886641220675,2.023552,2.027636,0.23405396596013503,0.04770144697095443,-0.218749,0.580581,2.259580454627175,0.04767447243331254,1.80685,2.606229,-1.0048080329075468,16.112484528961353,-82.470412,118.332433,4.054987626961568,24.44486523241561,-99.969403,103.525105,5.657322908899152,3.4622544339552657,1.85842,18.607878,5.6573229088991495
CUIB,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5387189244766977,1.5819051815280774,1.000572,7.637191,2.5641264032961044,1.6286145711407578,1.000573,7.921522,2.5641264032961044,1.6286145711407578,1.000573,7.921522,2.248309275937556,0.00042188952706393915,2.246528,2.250439,0.3112427992180803,0.04044456300828103,-0.194676,0.772497,2.5595520758905317,0.04041709644917188,2.054651,3.020943,-0.6040835238635233,16.473712433408295,-121.027388,95.707564,0.2687756196793172,18.751092895194734,-116.919617,384.717712,6.506250044379059,4.0656538676585035,2.062239,21.57763,6.506250044379069
UFPR,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3879840450769767,1.5146235004551907,1.001382,7.643413,2.4097323134769932,1.5581413233640231,1.001384,7.925821,2.4097323134769932,1.5581413233640231,1.001384,7.925821,2.0690143092359246,0.0004426994270160962,2.06657,2.071089,0.21297474105168127,0.0544267276256457,-0.431486,0.41448,2.2819890496965702,0.054395557735698485,1.637905,2.48279,-0.19080227201635816,21.408469405677533,-93.020108,106.420855,5.581676116829083,25.446211356484824,-97.452069,140.550878,5.453944366273567,3.468105239238286,1.74052,18.568886,5.45394436627356
NAUS,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6693026234293686,1.5498983064395142,1.000191,7.635777,2.696179866793237,1.5965174995779552,1.000191,7.921252,2.696179866793237,1.5965174995779552,1.000191,7.921252,2.287746743178264,0.00041620820834095803,2.28526,2.29023,0.3240522194817152,0.0365317619077459,-0.255535,0.603235,2.6117989621192415,0.03654722859329439,2.032596,2.890944,0.4247193381234929,15.966331543651204,-98.293239,128.843785,1.4285354423910717,11.520353102105913,-41.609033,103.300557,6.981037057832133,4.066788549957836,2.073051,21.540748,6.981037057832131
POAL,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.379961845797269,1.521556255572501,1.000064,7.634724,2.4024911915826,1.5659198871038431,1.000064,7.927744,2.4024911915826,1.5659198871038431,1.000064,7.927744,2.2895181209327817,0.0005231053087308334,2.287954,2.291632,0.21330929263324447,0.06379640005978103,-0.346607,0.515199,2.5028274137152526,0.06375720758076055,1.943757,2.80482,-0.33702163113281536,12.120061963272065,-103.645089,85.040731,1.0646830175499227,17.002347873029894,-82.055056,89.526338,5.961453530285884,3.821286636659775,2.068492,20.624292,5.961453530285884
PERC,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.698720670244261,1.582447239915446,1.000344,7.634986,2.726914639911504,1.631211441066683,1.000344,7.921278,2.726914639911504,1.631211441066683,1.000344,7.921278,2.3098338775545675,0.0004418624866660108,2.306912,2.311963,0.2530645512290091,0.047527197368194295,-0.190359,0.744427,2.56289842936348,0.04751717404573152,2.119272,3.054344,12.929340228650123,32.702112390393545,-117.037282,137.84773,0.3276169773748912,15.605509118844243,-143.682797,57.82033,6.923574601145724,4.070810755588712,2.451624,23.306709,6.923574601145713
ONRJ,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.455278715864742,1.5438973941678726,1.0,7.634704,2.479167275411671,1.5897821743712874,1.0,7.924642,2.479167275411671,1.5897821743712874,1.0,7.924642,2.301856881844664,0.0004743323278094753,2.299316,2.303775,0.30440352029146506,0.06238234541645058,-0.366811,0.64899,2.6062604025357525,0.062340196659845526,1.93608,2.951064,-0.30905683568444986,17.5842842684585,-111.837558,134.096803,1.660046743284759,15.646937251709842,-103.033441,112.237989,6.406594424911066,4.042305365434171,2.102192,21.683546,6.406594424911073
SSA1,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.581184237738691,1.571357979809196,1.000245,7.634822,2.6072773661858104,1.6188885051136024,1.000245,7.921254,2.6072773661858104,1.6188885051136024,1.000245,7.921254,2.312498463802883,1.4671116620374382e-05,2.311357,2.312499,0.25452516434811023,0.06899302670484521,-0.224409,0.597849,2.5670232699497046,0.06899307990423545,2.08809,2.910347,1.609162055596382,15.332600335996649,-96.486797,110.952713,1.1409395325009823,16.228024678697857,-100.694164,118.87926,6.631455720068928,4.048103524559835,2.314014,21.194507,6.631455720068926
SAGA,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3427204839762092,1.2281864088819738,1.000001,7.635714,2.358746770345718,1.2579122825497626,1.000001,7.921172,2.358746770345718,1.2579122825497626,1.000001,7.921172,2.2874657923260817,0.0004422085090399044,2.279024,2.290356,0.336256424505692,0.0418233872157116,-0.223181,0.823008,2.623722217678114,0.04183668312905232,2.063729,3.110564,-3.708012566590506,27.66549824066534,-136.75531,135.334894,-0.7205523780396462,27.81236009460109,-116.644417,116.176439,6.1515158553923355,3.2326952391881596,2.136087,23.448438,6.151515855392335
POLI,VERAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.399719566958129,1.4992270088153836,1.000765,7.641525,2.4213738907466253,1.542031382163433,1.000766,7.924988,2.4213738907466253,1.542031382163433,1.000766,7.924988,2.1185565823901515,0.0004596811699773506,2.116116,2.121028,0.2448129963159628,0.06347325535452387,-0.356528,0.6776,2.363369577742666,0.06343402688014958,1.762526,2.796433,2.8095406649652572,14.030441295222207,-48.148873,130.052006,-0.6922858379887444,10.478441409592515,-59.426248,103.946262,5.676733006557978,3.5574264808457947,1.896855,19.52266,5.676733006557972
BRAZ,INVERNO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.501425934349617,1.507598320762321,1.006298,7.646442,2.523936244276109,1.5497536804686385,1.006306,7.92168,2.523936244276109,1.5497536804686385,1.006306,7.92168,2.025743110140256,0.0006735175717800578,2.022072,2.029145,0.10089103064878893,0.030889123825449373,-0.522101,0.539493,2.126634141675808,0.030914376896506474,1.503634,2.564931,-0.7665320120919481,10.551487901322083,-99.728212,41.394366,3.1887642463829704,21.026878319868363,-117.14373,105.932405,5.322108739729052,3.211853801696121,1.801278,19.37456,5.322108739729051
CUIB,INVERNO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5677798467598216,1.609811106860894,1.000616,7.637541,2.594269018022342,1.6583680572768895,1.000617,7.921511,2.594269018022342,1.6583680572768895,1.000617,7.921511,2.2485119033560883,0.0006709743645888212,2.245895,2.251372,0.152630665757565,0.03646524963492503,-0.197533,0.536885,2.401142567298912,0.03646210891089304,2.052114,2.785008,-0.5523844199184146,3.3094819350574873,-50.746522,19.637674,0.8431124934480342,2.7043012136855666,-31.172228,17.714795,6.16960615214816,3.8742678838837805,2.224059,21.015264,6.169606152148159
