Mes_Pasta,Estacao,Arquivo,DOY,Data,Mes_Arquivo
VERAO,BRAZ,braz0011_delays.txt,1,2020-01-01,January
VERAO,BRAZ,braz0021_delays.txt,2,2020-01-02,January
VERAO,BRAZ,braz0031_delays.txt,3,2020-01-03,January
VERAO,BRAZ,braz0041_delays.txt,4,2020-01-04,January
VERAO,BRAZ,braz0051_delays.txt,5,2020-01-05,January
VERAO,BRAZ,braz0061_delays.txt,6,2020-01-06,January
VERAO,BRAZ,braz0071_delays.txt,7,2020-01-07,January
VERAO,BRAZ,braz0081_delays.txt,8,2020-01-08,January
VERAO,BRAZ,braz0091_delays.txt,9,2020-01-09,January
VERAO,BRAZ,braz0101_delays.txt,10,2020-01-10,January
VERAO,BRAZ,braz0111_delays.txt,11,2020-01-11,January
VERAO,BRAZ,braz0121_delays.txt,12,2020-01-12,January
VERAO,BRAZ,braz0131_delays.txt,13,2020-01-13,January
VERAO,BRAZ,braz0141_delays.txt,14,2020-01-14,January
VERAO,BRAZ,braz0151_delays.txt,15,2020-01-15,January
VERAO,BRAZ,braz0161_delays.txt,16,2020-01-16,January
VERAO,BRAZ,braz0171_delays.txt,17,2020-01-17,January
VERAO,BRAZ,braz0181_delays.txt,18,2020-01-18,January
VERAO,BRAZ,braz0191_delays.txt,19,2020-01-19,January
VERAO,BRAZ,braz0201_delays.txt,20,2020-01-20,January
VERAO,BRAZ,braz0211_delays.txt,21,2020-01-21,January
VERAO,BRAZ,braz0221_delays.txt,22,2020-01-22,January
VERAO,BRAZ,braz0231_delays.txt,23,2020-01-23,January
VERAO,BRAZ,braz0241_delays.txt,24,2020-01-24,January
VERAO,BRAZ,braz0251_delays.txt,25,2020-01-25,January
VERAO,BRAZ,braz0261_delays.txt,26,2020-01-26,January
VERAO,BRAZ,braz0271_delays.txt,27,2020-01-27,January
VERAO,BRAZ,braz0281_delays.txt,28,2020-01-28,January
VERAO,BRAZ,braz0291_delays.txt,29,2020-01-29,January
VERAO,BRAZ,braz0301_delays.txt,30,2020-01-30,January
VERAO,BRAZ,braz0311_delays.txt,31,2020-01-31,January
VERAO,CUIB,cuib0011_delays.txt,1,2020-01-01,January
VERAO,CUIB,cuib0021_delays.txt,2,2020-01-02,January
VERAO,CUIB,cuib0031_delays.txt,3,2020-01-03,January
VERAO,CUIB,cuib0041_delays.txt,4,2020-01-04,January
VERAO,CUIB,cuib0051_delays.txt,5,2020-01-05,January
VERAO,CUIB,cuib0061_delays.txt,6,2020-01-06,January
VERAO,CUIB,cuib0071_delays.txt,7,2020-01-07,January
VERAO,CUIB,cuib0081_delays.txt,8,2020-01-08,January
VERAO,CUIB,cuib0091_delays.txt,9,2020-01-09,January
VERAO,CUIB,cuib0101_delays.txt,10,2020-01-10,January
VERAO,CUIB,cuib0111_delays.txt,11,2020-01-11,January
VERAO,CUIB,cuib0121_delays.txt,12,2020-01-12,January
VERAO,CUIB,cuib0131_delays.txt,13,2020-01-13,January
VERAO,CUIB,cuib0141_delays.txt,14,2020-01-14,January
VERAO,CUIB,cuib0151_delays.txt,15,2020-01-15,January
VERAO,CUIB,cuib0161_delays.txt,16,2020-01-16,January
VERAO,CUIB,cuib0171_delays.txt,17,2020-01-17,January
VERAO,CUIB,cuib0181_delays.txt,18,2020-01-18,January
VERAO,CUIB,cuib0191_delays.txt,19,2020-01-19,January
VERAO,CUIB,cuib0201_delays.txt,20,2020-01-20,January
VERAO,CUIB,cuib0211_delays.txt,21,2020-01-21,January
VERAO,CUIB,cuib0221_delays.txt,22,2020-01-22,January
VERAO,CUIB,cuib0231_delays.txt,23,2020-01-23,January
VERAO,CUIB,cuib0241_delays.txt,24,2020-01-24,January
VERAO,CUIB,cuib0251_delays.txt,25,2020-01-25,January
VERAO,CUIB,cuib0261_delays.txt,26,2020-01-26,January
VERAO,CUIB,cuib0271_delays.txt,27,2020-01-27,January
VERAO,CUIB,cuib0281_delays.txt,28,2020-01-28,January
VERAO,CUIB,cuib0291_delays.txt,29,2020-01-29,January
VERAO,CUIB,cuib0301_delays.txt,30,2020-01-30,January
VERAO,CUIB,cuib0311_delays.txt,31,2020-01-31,January
VERAO,UFPR,ufpr0011_delays.txt,1,2020-01-01,January
VERAO,UFPR,ufpr0021_delays.txt,2,2020-01-02,January
VERAO,UFPR,ufpr0031_delays.txt,3,2020-01-03,January
VERAO,UFPR,ufpr0041_delays.txt,4,2020-01-04,January
VERAO,UFPR,ufpr0051_delays.txt,5,2020-01-05,January
VERAO,UFPR,ufpr0061_delays.txt,6,2020-01-06,January
VERAO,UFPR,ufpr0071_delays.txt,7,2020-01-07,January
VERAO,UFPR,ufpr0081_delays.txt,8,2020-01-08,January
VERAO,UFPR,ufpr0091_delays.txt,9,2020-01-09,January
