Estacao_,Mes_,Tempo_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,2020-01-01,-0.17594025308544442,0.04176435613691847,-0.273,-0.104,0.19786565037481785,0.06031058732705859,0.102,0.324,2.5088035323291376,1.5383331263550666,1.00264,7.644694,2.531635454631239,1.5816032877761828,1.002643,7.915246,0.0,0.0,0.0,0.0,2.0836280649918364,0.0021411991592558987,2.0792,2.0877,0.24651421196959322,0.005775962712297659,0.2375,0.261089,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.851987037881182,3.5965778270333186,2.335316,17.969151,5.851987037881183
BRAZ,VERAO,2020-01-02,0.15222025552528007,0.10807932871847083,-0.134,0.296,0.04732909335541664,0.07242064641122609,-0.075,0.137,2.5028119814161816,1.5297256467342095,1.002664,7.64455,2.524946386667201,1.5717447468144488,1.002668,7.915654,0.0,0.0,0.0,0.0,2.084085122010294,0.0017431065447351042,2.0805,2.0877,0.2634190145144343,0.00936825157657359,0.2514,0.288383,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.881570312906271,3.6032769250174965,2.353306,18.206534,5.881570312906271
BRAZ,VERAO,2020-01-03,0.09881870740024608,0.060908072508371845,0.016042,0.236,0.16537161984531554,0.08864217562457635,-0.071828,0.249,2.50712245396379,1.538038232276297,1.002688,7.643796,2.52912462959659,1.5797967000313529,1.002692,7.918183,0.0,0.0,0.0,0.0,2.0857425386183865,0.0020893892523357214,2.0813,2.0898,0.2749362652487256,0.008516154307012308,0.2626,0.2884,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.924544582325541,3.6421753041630596,2.359922,18.221266,5.9245445823255425
BRAZ,VERAO,2020-01-04,0.10987421078008693,0.11829903674709058,-0.101,0.355683,0.1190887054569131,0.07020099085880786,-0.072,0.231938,2.5043748482367536,1.5358009234898442,1.002714,7.64436,2.5266024447049817,1.5780744282916375,1.002717,7.913328,0.0,0.0,0.0,0.0,2.0842499978707303,0.0017347386959006607,2.0802,2.0875,0.28312316184208214,0.004659976059505385,0.2728,0.290896,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.935112136963943,3.6477962410687113,2.374431,18.22782,5.935112136963942
BRAZ,VERAO,2020-01-05,0.35686024561218205,0.09541716805982794,0.220254,0.586,0.4210104466684271,0.11942494510986232,0.232,0.644,2.504327268977203,1.5365376436753415,1.002739,7.64461,2.5260173417788927,1.577798563285962,1.002743,7.908374,0.0,0.0,0.0,0.0,2.0833949455329637,0.0013701205344881227,2.0808,2.085896,0.27440877873426633,0.010400089505616772,0.2615,0.2909,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.910389646945692,3.633436707203751,2.352468,18.196901,5.910389646945693
BRAZ,VERAO,2020-01-06,0.014764283008270226,0.08445203401443398,-0.07,0.187667,0.17414530369351744,0.19054536563352223,-0.140843,0.554,2.5361287023154695,1.554687361204618,1.002766,7.641811,2.5607472134570317,1.6008314483694976,1.00277,7.927148,0.0,0.0,0.0,0.0,2.085729193662722,0.0018519703046347776,2.083,2.0897,0.2529716129650791,0.004659319141255727,0.2461,0.2612,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.937717391620344,3.6482063184348874,2.344565,17.977797,5.937717391620345
BRAZ,VERAO,2020-01-07,-0.018527303160565167,0.09705723024098378,-0.169,0.163,0.062269745815862726,0.11545665197193582,-0.141,0.288,2.503801541259998,1.5370609775474209,1.002794,7.645159,2.526444393137134,1.5802300929258621,1.002798,7.922444,0.0,0.0,0.0,0.0,2.0886575950459814,0.002084030203942019,2.0843,2.0931,0.271274843874423,0.006520634479200074,0.2604,0.288985,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.9155150053909304,3.6407182981172848,2.370586,18.232071,5.9155150053909304
BRAZ,VERAO,2020-01-08,-0.5910328533678848,0.17059573737728284,-0.827,-0.054,-0.0905582856664375,0.05322150446228141,-0.183,0.007,2.501512908606131,1.5339118417291546,1.002823,7.643422,2.523976969238634,1.576731922982101,1.002827,7.921384,0.0,0.0,0.0,0.0,2.0883019346871863,0.0020072416496192823,2.0851,2.0934,0.2571624823100111,0.012109193915629793,0.2433,0.289,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.872197550989828,3.60654535894881,2.338222,18.217805,5.872197550989829
BRAZ,VERAO,2020-01-09,-0.5820127866319352,0.16441144468168833,-0.844,-0.26,-0.3068064423652827,0.07347928143109604,-0.526818,-0.182,2.491930294588273,1.5285579484376486,1.002852,7.643565,2.5157269967439264,1.574244617866107,1.002856,7.930556,0.0,0.0,0.0,0.0,2.089114253309234,0.0016222790511162522,2.086,2.0928,0.24052380701008275,0.004035245860744154,0.232312,0.2494,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.810734199763437,3.5711278476679396,2.336391,17.912647,5.810734199763438
BRAZ,VERAO,2020-01-10,-0.24338602004764848,0.26240238547487615,-0.757685,0.08,-0.40280585719579987,0.0396898493907523,-0.527,-0.353,2.4984864955175152,1.5304822530067,1.002882,7.643662,2.5223732203653046,1.5761080781988477,1.002886,7.938033,0.0,0.0,0.0,0.0,2.087951683067149,0.0025664865495701682,2.084,2.0917,0.23094541185917233,0.0036000339102904197,0.222506,0.2369,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.799125596271949,3.559241242281687,2.318177,17.830755,5.799125596271949
