Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,-0.000124578308845518,0.0002954177810042586,-0.000898,0.000586,-1.5644289199134337e-05,0.0003122147294843636,-0.000881,0.000644,2.5006708257851096,1.5258332216561064,1.00264,7.645159,2.523568560526412,1.5691409732195396,1.002643,7.980044,-1.0854719887768131e-06,0.000876115934452701,-0.007149,0.007334,2.086704217681513,0.004206526676801671,2.0756,2.0972,0.24413407905181259,0.04517602029425934,0.1071,0.3019,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.834282810730372,3.569462445438892,2.224564,18.298149,5.8342828107303655
CUIB,VERAO,-3.2378523988449156e-06,0.0002736211524939467,-0.000748,0.000747,8.701434864317557e-05,0.00042894787530787127,-0.001345,0.001483,2.5383156516832637,1.5812430510008066,1.000572,7.635937,2.5621689808440884,1.625085583733143,1.000572,7.942535,1.2498951632902272e-05,0.001100337227652357,-0.00963,0.011755,2.2305988336028686,0.004856387421395227,2.2185,2.2421,0.3077781866363753,0.029540420355890374,0.2291,0.3601,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.450635323472081,4.028605896336729,2.469597,19.82942,6.45063532347208
UFPR,VERAO,-0.00017766689997352983,0.00035145182084408245,-0.001136,0.000821,0.00030623528658577873,0.0004645383245667112,-0.000646,0.001819,2.3875698370616263,1.5140465454401546,1.001382,7.646035,2.4084881897477333,1.5559005067824139,1.001384,7.983117,1.975523463037175e-05,0.0013070017042134648,-0.013727,0.014339,2.1535210370840954,0.006774443414490485,2.1395,2.1734,0.2305863451242559,0.05062300236507997,0.1105,0.3325,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.6970257052269355,3.6221887503788173,2.265086,19.057341,5.697025705226938
NAUS,VERAO,-2.879032283589812e-05,0.00017727016927131142,-0.000585,0.000503,-0.0002478249674031153,0.0002718171296536358,-0.001074,0.000508,2.6693360276941416,1.5489066793260902,1.000191,7.634049,2.6934152222408794,1.5905866639756867,1.000191,7.913839,-2.7691803663887158e-05,0.0008537583012329682,-0.007378,0.007125,2.2979909443539457,0.0029357563232602314,2.2905,2.3056,0.341733541242402,0.022794471247502893,0.272518,0.379,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,7.054653156119295,4.103969723923812,2.575308,20.574454,7.054653156119298
POAL,VERAO,-0.00012365348323245157,0.00039883749165618677,-0.001537,0.000951,0.0006023725768911775,0.0004204594376701122,-0.000395,0.002573,2.379834417808977,1.5214079308208501,1.000064,7.639499,2.4021086086707837,1.5653302409203016,1.000064,7.976337,1.970277757520398e-05,0.0014651760524696587,-0.01698,0.017082,2.282235478607177,0.008861081216746346,2.2624,2.3078,0.20759220182736673,0.0614410051028752,0.084,0.3845,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.929782993166225,3.8000180741535416,2.402583,20.27786,5.9297829931662225
PERC,VERAO,-0.0003514232453855324,0.00025451273139206554,-0.000912,0.00032,0.0002948581074257354,0.0002949269857944284,-0.000295,0.001022,2.6984309650233964,1.5832303359247888,1.000344,7.633907,2.7266540100112158,1.6321097718651307,1.000344,7.953705,3.1722391342332765e-05,0.0012940589773288342,-0.009265,0.009212,2.29265379504967,0.002595659271382156,2.2835,2.2999,0.2426896440561361,0.04150751693070677,0.1679,0.3373,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.848331170733832,4.027856389121687,2.468535,20.120626,6.848331170733836
ONRJ,VERAO,-0.0001782653592286545,0.00037735817021864154,-0.001541,0.000628,0.0006562364082660818,0.0005340197239491006,-0.000445,0.002003,2.4553767488851816,1.5442057614905205,1.0,7.635378,2.4774319022658307,1.586542739567882,1.0,7.957393,1.9834824717112785e-05,0.0017740573738478438,-0.014619,0.01546,2.2625115937561677,0.0069891831008068485,2.2453,2.2826,0.2835316206879171,0.053654639585118694,0.1515,0.3724,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.257606798072304,3.9464324433484292,2.415937,20.205946,6.2576067980723105
SSA1,VERAO,-0.00036435096352647046,0.0004713961477811648,-0.002158,0.000492,6.8445795165972e-05,0.00021199628589765542,-0.000493,0.000747,2.5799747556203543,1.570975972047375,1.000245,7.634235,2.606152476898324,1.6187627777993643,1.000245,7.966944,0.00011634074704025233,0.0012595598509504487,-0.011352,0.0146,2.305401285677025,0.003495354493614799,2.2935,2.3146,0.2508518700510145,0.06503931553664677,0.1536,0.3661,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.601283284775409,4.031112514951655,2.460824,20.432391,6.601283284775412
SAGA,VERAO,-9.754647474517609e-05,0.00022678284666660445,-0.000941,0.000755,-0.00020529411136660782,0.0001798671503238089,-0.000728,0.000269,2.344648525285939,1.2284611974750763,1.000001,7.633514,2.3594584425013405,1.2557929366879788,1.000001,7.933526,3.9411406935505616e-05,0.0006388686646179551,-0.006403,0.007488,2.2858061426110976,0.0031850873329182165,2.2771,2.2941,0.3315650098311667,0.028052618312906574,0.2239,0.3789,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.142449317870528,3.2278158505904138,2.509342,20.462179,6.142449317870525
POLI,VERAO,-0.0001134612433388223,0.0003475827195907518,-0.001157,0.000741,0.0004603197237699987,0.0005165097199907321,-0.000506,0.002199,2.3994661170037004,1.49903403590525,1.000765,7.642974,2.4199250131661936,1.5394886953724958,1.000766,7.974776,1.8773560669125555e-05,0.0015019105931362332,-0.014683,0.01659,2.178551691882022,0.006386062641001141,2.1639,2.1973,0.25251020056509876,0.05882107889916816,0.0902,0.342,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.838003656805188,3.6569167008556343,2.276848,19.345951,5.838003656805192
