Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,-0.000124578308845518,0.0002954177595617449,-0.000898,0.000586,-1.5644289199134337e-05,0.000312214706822629,-0.000881,0.000644,2.500670825449337,1.5258331109148984,1.00264,7.645159,2.52356856017772,1.5691408593862124,1.002643,7.980044,-1.085470391934728e-06,0.0008761158706344104,-0.007149,0.007334,2.086704217681513,0.004206526371473727,2.0756,2.0972,0.24413407905181259,0.0451760170152131,0.1071,0.3019,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.834219399736753,3.569307404467486,2.224821,18.313524,5.834219399736757
CUIB,VERAO,-3.2378523988449156e-06,0.00027362113239475346,-0.000748,0.000747,8.701434864317557e-05,0.0004289478437989824,-0.001345,0.001483,2.5383156489918277,1.581242932765052,1.000572,7.635937,2.5621689780606856,1.6250854622592537,1.000572,7.942535,1.2498950163777978e-05,0.0011003371455528554,-0.00963,0.011755,2.2305988336028686,0.004856387064687099,2.2185,2.2421,0.3077781866363753,0.029540418185960784,0.2291,0.3601,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.450758994220318,4.028888065316619,2.469171,19.825938,6.450758994220315
UFPR,VERAO,-0.00017766689997352983,0.00035145179380049226,-0.001136,0.000821,0.00030623528658577873,0.00046453828882131996,-0.000646,0.001819,2.3875698334456774,1.514046422526791,1.001382,7.646035,2.4084881859461853,1.555900380057714,1.001384,7.983117,1.9755237092713317e-05,0.0013070015980383711,-0.013727,0.014339,2.1535210370840954,0.006774442893202993,2.1395,2.1734,0.2305863451242559,0.050622998469730125,0.1105,0.3325,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.69734002840788,3.6229105761006744,2.265016,19.070168,5.697340028407878
NAUS,VERAO,-2.879032283589812e-05,0.00017727015738393267,-0.000585,0.000503,-0.0002478249674031153,0.0002718171114261188,-0.001074,0.000508,2.669336029635202,1.548906580969905,1.000191,7.634049,2.693415224352267,1.5905865633965235,1.000191,7.913839,-2.7691804468582932e-05,0.0008537582457113223,-0.007378,0.007125,2.2979909443539457,0.0029357561264081304,2.2905,2.3056,0.341733541242402,0.02279446971895351,0.272518,0.379,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,7.0543826056227585,4.1034700206930035,2.575378,20.566332,7.054382605622757
POAL,VERAO,-0.00012365348323245157,0.00039883746084485916,-0.001537,0.000951,0.0006023725768911775,0.000420459405188487,-0.000395,0.002573,2.3798344128915323,1.5214078084676719,1.000064,7.639499,2.4021086035809107,1.5653301149297811,1.000064,7.976337,1.9702779583774704e-05,0.0014651759299520349,-0.01698,0.017082,2.282235478607177,0.008861080532214132,2.2624,2.3078,0.20759220182736673,0.06144100035638945,0.084,0.3845,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.930187377156587,3.8007900692705476,2.402709,20.258169,5.930187377156588
PERC,VERAO,-0.0003514232453855324,0.0002545127143923851,-0.000912,0.00032,0.0002948581074257354,0.0002949269660953495,-0.000295,0.001022,2.698430958700495,1.583230217627977,1.000344,7.633907,2.726654003252156,1.6321096491997311,1.000344,7.953705,3.172239334612555e-05,0.0012940588859242784,-0.009265,0.009212,2.29265379504967,0.002595659098050019,2.2835,2.2999,0.2426896440561361,0.04150751415828996,0.1679,0.3373,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.848465304353414,4.027773309407368,2.468614,20.144462,6.848465304353426
ONRJ,VERAO,-0.0001782653592286545,0.00037735814157327123,-0.001541,0.000628,0.0006562364082660818,0.0005340196834114913,-0.000445,0.002003,2.4553767423916653,1.544205632582272,1.0,7.635378,2.477431895432236,1.5865426064748682,1.0,7.957393,1.9834829727190634e-05,0.001774057231124481,-0.014619,0.01546,2.2625115937561677,0.0069891825702567585,2.2453,2.2826,0.2835316206879171,0.05365463551218415,0.1515,0.3724,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.258165878831723,3.9475539983405055,2.416494,20.183144,6.258165878831727
SSA1,VERAO,-0.00036435096352647046,0.0004713961137033486,-0.002158,0.000492,6.8445795165972e-05,0.0002119962705721815,-0.000493,0.000747,2.5799747527506818,1.5709758535451235,1.000245,7.634235,2.6061524738762616,1.6187626553907513,1.000245,7.966944,0.00011634074602817508,0.0012595597544904384,-0.011352,0.0146,2.305401285677025,0.0034953542409403827,2.2935,2.3146,0.2508518700510145,0.06503931083487821,0.1536,0.3661,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.601992960503395,4.032641604537315,2.460818,20.464672,6.601992960503395
SAGA,VERAO,-9.754647474517609e-05,0.0002267828293715708,-0.000941,0.000755,-0.00020529411136660782,0.0001798671366066688,-0.000728,0.000269,2.3446485237016597,1.2284611054700143,1.000001,7.633514,2.359458440910655,1.2557928427705478,1.000001,7.933526,3.9411407240556096e-05,0.0006388686155134501,-0.006403,0.007488,2.2858061426110976,0.003185087089966177,2.2771,2.2941,0.3315650098311667,0.0280526161735397,0.2239,0.3789,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.142661354962378,3.228298879673315,2.508802,20.471313,6.142661354962374
POLI,VERAO,-0.0001134612433388223,0.0003475826931903962,-0.001157,0.000741,0.0004603197237699987,0.0005165096807596724,-0.000506,0.002199,2.3994661157299495,1.4990339205282839,1.000765,7.642974,2.419925011837452,1.5394885767808881,1.000766,7.974776,1.8773561428666914e-05,0.001501910480767932,-0.014683,0.01659,2.178551691882022,0.0063860621559602366,2.1639,2.1973,0.25251020056509876,0.05882107443145953,0.0902,0.342,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.838442801601265,3.6578976282254287,2.27703,19.32578,5.838442801601255
BRAZ,INVERNO,-2.4702519160400804e-05,0.00010373445400401312,-0.000367,0.000237,-1.825464592539016e-05,0.0001169296759441191,-0.000346,0.000296,2.501426485620263,1.5072427729748483,1.006298,7.645451,2.5286726915383206,1.5585314768841856,1.006308,8.005034,-4.534706117459387e-06,0.00031277885426147606,-0.002884,0.002608,2.09718218312176,0.0035097975835036146,2.0863,2.1072,0.08896663746069755,0.02013391502950909,0.0585,0.1403,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.470885125174751,3.2999872927842087,2.174459,17.088471,5.4708851251747515
CUIB,INVERNO,-0.0001373484145689469,0.00014685016858381912,-0.000717,0.000203,-4.086071307403175e-05,0.00017594061584982304,-0.000662,0.000508,2.5681782122447507,1.6101774746363302,1.000616,7.637157,2.5973900513870722,1.6638659984008037,1.000617,7.980208,-9.113833743201132e-06,0.0005358274503091787,-0.006301,0.007039,2.239710687300184,0.004126063560727677,2.23,2.2518,0.14158284876968436,0.029920915948222188,0.0859,0.2251,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.119740329812366,3.843264468133705,2.33057,19.005505,6.119740329812355
UFPR,INVERNO,-4.265945732042174e-05,0.00016111258734215737,-0.000494,0.000606,0.00022306996824284533,0.0003024676446617045,-0.000824,0.001364,2.393158507447121,1.5054857201306904,1.000031,7.653449,2.416846171161093,1.552793653605887,1.000032,7.992315,4.958640219765475e-07,0.0006172000384776817,-0.007868,0.00706,2.1669629014540455,0.00833308099669165,2.1412,2.1871,0.11549237529849986,0.04389826532939791,0.0433,0.2117,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.465164566652596,3.4441159533694625,2.218267,18.214511,5.4651645666525965
NAUS,INVERNO,-0.00015469339078899417,0.00017326754381538753,-0.000609,0.000384,0.00014032296845963016,0.00022421536628826707,-0.000745,0.000785,2.64690922103464,1.5299711060003962,1.000009,7.634535,2.6724605932195677,1.5752235914254986,1.000009,7.958888,3.2016010484010185e-05,0.000782152001816207,-0.006116,0.006718,2.300981335824123,0.002660728471505467,2.2946,2.3086,0.27528300373186243,0.04631432130138763,0.1268,0.3454,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.826342078784333,3.9572721480483724,2.436404,20.256821,6.826342078784334
POAL,INVERNO,-9.121144962701078e-06,0.00025833260631540463,-0.000803,0.001201,0.000447433131051822,0.0004040480529593746,-0.00051,0.001722,2.373761099424583,1.4978981144362375,1.000677,7.653593,2.395861448736096,1.5411364881552212,1.000678,7.996028,4.960352646052938e-06,0.0009083280492857927,-0.010759,0.011669,2.297132699267571,0.012034858306668473,2.2529,2.3257,0.11668917501449051,0.054637772140193795,0.0287,0.2395,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.732654522973401,3.6238982076289146,2.348165,19.363119,5.732654522973398
PERC,INVERNO,-0.00013983695279224092,0.0002626492609036106,-0.000823,0.000862,0.00027455614048037556,0.00033360061447508884,-0.00043,0.001244,2.7017966445048653,1.5914048427026501,1.000074,7.634148,2.73275911463855,1.6447530657464984,1.000074,7.969885,3.574198704819627e-05,0.0011607897007514358,-0.009555,0.010151,2.299791317477905,0.0027693922722826815,2.2909,2.3066,0.19687064207603067,0.034896696758222934,0.1434,0.2993,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.751818633404633,3.9855521910101954,2.444006,19.947507,6.751818633404641
ONRJ,INVERNO,-4.588339045034731e-05,0.00014959429229766623,-0.000596,0.000418,0.0002726491594730228,0.00029465092354581955,-0.000387,0.001269,2.4549808113966844,1.5376808216929123,1.0,7.640499,2.4809803707145686,1.5883092668437322,1.0,7.978091,8.407545419804664e-06,0.0006550317198186513,-0.005962,0.007931,2.280678187893677,0.008090662698302642,2.2542,2.3023,0.14312782472831567,0.026834252539822048,0.0984,0.2164,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.954396066766243,3.735707711419918,2.377249,19.212967,5.954396066766238
SSA1,INVERNO,-0.0001247519143047872,0.0002443507739425109,-0.000762,0.000674,7.629882847184413e-05,0.0002585171776049027,-0.000593,0.000987,2.571721902723866,1.5543627644121718,1.00031,7.635164,2.599991909649356,1.6062385865983009,1.00031,7.971602,6.163130856102303e-05,0.0008190998354526587,-0.007915,0.007926,2.3173781936810505,0.0034460895991582,2.3049,2.3265,0.18556045800661455,0.029980875623389375,0.1166,0.2832,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.442656381171563,3.9026446227828586,2.436445,19.926937,6.4426563811715685
SAGA,INVERNO,-0.00013929281786813623,0.0001721783903221482,-0.000697,0.000376,0.00012810426782345347,0.000210428098535142,-0.000356,0.000814,2.33471976465284,1.2167689432236977,1.001412,7.634297,2.3493750832970286,1.2441060987133745,1.001414,7.924473,-4.774902349568067e-05,0.0006101767663854157,-0.005713,0.005509,2.2899101513193822,0.002644425278721641,2.2828,2.2963,0.31343885386567866,0.029703146774944407,0.1741,0.3511,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.082141755385358,3.175757390324455,2.472519,20.244681,6.082141755385358
