Estacao,Periodo,DOY,DataReferencia,RMSE_X,RMSE_Y,RMSE_Z
BRAZ,VERAO,1,2020-01-01,0.18019474364062785,0.16114149052367116,0.11125950611518085
BRAZ,VERAO,4,2020-01-01,0.2035219904081542,0.18066210574109945,0.1158701177103799
BRAZ,VERAO,30,2020-01-29,0.2133528115372362,0.19867970332895227,0.12263228298814502
BRAZ,VERAO,13,2020-01-15,0.12902292494420586,0.15541144941564877,0.10357163185538168
BRAZ,VERAO,22,2020-01-22,0.21129988726760995,0.1956164298376239,0.12679813755744443
BRAZ,VERAO,17,2020-01-15,0.164091306302258,0.15281268889119676,0.09396213112364776
BRAZ,VERAO,12,2020-01-15,0.1653919739503641,0.17569453135832874,0.11118104740614666
BRAZ,VERAO,5,2020-01-08,0.1649030419173053,0.13539185268179815,0.0968063706935059
BRAZ,VERAO,15,2020-01-15,0.14739681799230003,0.19051431172653288,0.12623872102416675
BRAZ,VERAO,11,2020-01-08,0.16533171199727312,0.1924432036474426,0.11757281383589607
BRAZ,VERAO,19,2020-01-22,0.17192136729945415,0.16872485820347144,0.1104833196765254
BRAZ,VERAO,7,2020-01-08,0.21608776453897152,0.21182267128136734,0.11473822494326637
BRAZ,VERAO,21,2020-01-22,0.15011091097772358,0.13392327731359743,0.10446523579119983
BRAZ,VERAO,3,2020-01-01,0.1942471291869207,0.19460365986322753,0.11437896642480765
BRAZ,VERAO,16,2020-01-15,0.16035532672295702,0.16502717690792937,0.1124972003373655
BRAZ,VERAO,14,2020-01-15,0.1339363951458723,0.16607056037045495,0.10614735948282474
BRAZ,VERAO,28,2020-01-29,0.19457194378282633,0.18815957226037952,0.11095743961958433
BRAZ,VERAO,23,2020-01-22,0.16010235162458866,0.16418449772369295,0.10843905298529335
BRAZ,VERAO,20,2020-01-22,0.16275577313074474,0.14952159589134761,0.11613153957487264
BRAZ,VERAO,2,2020-01-01,0.18296522912792668,0.18408203494079756,0.10500778738099845
BRAZ,VERAO,31,2020-01-29,2.6347393660118086,3.6691439182750294,2.0880454902990127
BRAZ,VERAO,26,2020-01-29,0.14103897891101827,0.15683812089717425,0.09745979098537126
BRAZ,VERAO,6,2020-01-08,0.19071194394615265,0.18063436829619497,0.09684769207202765
BRAZ,VERAO,9,2020-01-08,0.1635585424415684,0.15904489191499974,0.09917860887244875
BRAZ,VERAO,27,2020-01-29,0.16494679366285028,0.17933179241111943,0.11260444558811802
BRAZ,VERAO,29,2020-01-29,0.1866209448359941,0.20523878383217398,0.1199967519359472
BRAZ,VERAO,24,2020-01-22,0.16616854562878167,0.1662039003427452,0.11377752418629059
BRAZ,VERAO,18,2020-01-15,0.16507181691933212,0.1550127518248984,0.10353489858593365
BRAZ,VERAO,10,2020-01-08,0.2589831225774435,0.2631371015689487,0.14657792675280662
BRAZ,VERAO,8,2020-01-08,0.1380090124785356,0.14574145736361865,0.08987374480358583
BRAZ,VERAO,25,2020-01-22,0.17331653458924906,0.17579176548943604,0.10219356506159233
CUIB,VERAO,23,2020-01-22,0.12779261889109703,0.2071436039872082,0.07980485393818991
CUIB,VERAO,21,2020-01-22,0.11939687861424025,0.18092145062678788,0.0553959575018796
CUIB,VERAO,4,2020-01-01,0.12393668613262818,0.2013738510929251,0.07465958492371277
CUIB,VERAO,15,2020-01-15,0.14103262561691055,0.2020297294305245,0.07201744231631278
CUIB,VERAO,16,2020-01-15,0.1227783336198164,0.21289217631429103,0.07988362426396367
CUIB,VERAO,2,2020-01-01,0.1323701756477179,0.18816784281558407,0.057488049228902154
CUIB,VERAO,5,2020-01-08,0.13260591043242675,0.2311534579807775,0.07855337037207452
CUIB,VERAO,12,2020-01-15,0.13494562020882367,0.19603452871804708,0.06221263848451076
CUIB,VERAO,7,2020-01-08,0.11846447526508631,0.19683012163130828,0.0619284982963405
CUIB,VERAO,31,2020-01-29,2.153427033380407,4.742588537746113,1.990689933649514
CUIB,VERAO,25,2020-01-22,0.09897457468607003,0.14724422051723338,0.05180923060596389
CUIB,VERAO,1,2020-01-01,0.11858717931935393,0.1941108354136895,0.06029491391705214
CUIB,VERAO,14,2020-01-15,0.16651661843571353,0.25085332306301117,0.09615480767186008
CUIB,VERAO,17,2020-01-15,0.06235099376633986,0.11440600645326067,0.03316495536179139
CUIB,VERAO,24,2020-01-22,0.12783233772725414,0.18913042855195444,0.07990364464908103
CUIB,VERAO,22,2020-01-22,0.12175106923670788,0.2019668047834772,0.07745226369387685
CUIB,VERAO,27,2020-01-29,0.15593461847715137,0.2246888788134007,0.0900109094332062
