Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,-0.12457815540873642,0.2954179532407061,-0.898,0.586,-0.015644180714909105,0.31221385875675484,-0.881,0.644,2.500670825526566,1.5258331110813455,1.00264,7.645159,2.523568560253352,1.5691408595726892,1.002643,7.980044,0.0,0.0,0.0,0.0,2.086704217681513,0.004206526371455218,2.0756,2.0972,0.24413407905181259,0.045176017015212254,0.1071,0.3019,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.8342852762895365,3.5694879284948664,2.224858,18.296406,5.834285276289527
CUIB,VERAO,-0.003238044819456377,0.2736207038636793,-0.748,0.747,0.08701412799951108,0.4289478503804686,-1.345,1.483,2.5383156493297268,1.581242933475392,1.000572,7.635937,2.562168978416654,1.6250854630351632,1.000572,7.942535,0.0,0.0,0.0,0.0,2.2305988336028686,0.0048563870646727465,2.2185,2.2421,0.3077781866363753,0.029540418185961835,0.2291,0.3601,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.450629093505354,4.028553535783997,2.469145,19.830363,6.450629093505356
UFPR,VERAO,-0.17766639697316663,0.35145286847989016,-1.136,0.821,0.3062355839492265,0.4645383620223901,-0.646,1.819,2.387569833958614,1.5140464233908006,1.001382,7.646035,2.40848818648867,1.5559003809869247,1.001384,7.983117,0.0,0.0,0.0,0.0,2.1535210370840954,0.006774442893325452,2.1395,2.1734,0.2305863451242559,0.05062299846973189,0.1105,0.3325,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.697002561401104,3.622058245539853,2.265009,19.06001,5.697002561401109
NAUS,VERAO,-0.028790759976685284,0.17726945887099807,-0.585,0.503,-0.2478252435352753,0.2718166519457555,-1.074,0.508,2.6693360291244885,1.5489065797792085,1.000191,7.634049,2.6934152238084264,1.590586562101662,1.000191,7.913839,0.0,0.0,0.0,0.0,2.2979909443539457,0.0029357561263990317,2.2905,2.3056,0.341733541242402,0.022794469718961784,0.272518,0.379,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,7.054688433017795,4.104065251368351,2.575379,20.575366,7.054688433017788
POAL,VERAO,-0.12365349713114299,0.39883707120148887,-1.537,0.951374,0.6023718382260056,0.4204594368793174,-0.395,2.573,2.379834413869088,1.5214078099993462,1.000064,7.639499,2.40210860461517,1.5653301166074969,1.000064,7.976337,0.0,0.0,0.0,0.0,2.282235478607177,0.008861080532272629,2.2624,2.3078,0.20759220182736673,0.06144100035639228,0.084,0.3845,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.929759034946967,3.7998447421981796,2.40271,20.28035,5.9297590349469695
PERC,VERAO,-0.3514234542702427,0.25451231031428,-0.911969,0.32,0.29485891044996637,0.29492663355731874,-0.295,1.022,2.6984309596600444,1.5832302191368237,1.000344,7.633907,2.7266540042659413,1.6321096508360566,1.000344,7.953705,0.0,0.0,0.0,0.0,2.29265379504967,0.0025956590979852915,2.2835,2.2999,0.2426896440561361,0.04150751415828989,0.1679,0.3373,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.848299229392594,4.027814317017844,2.468619,20.120686,6.84829922939259
ONRJ,VERAO,-0.17826593410320518,0.37735757163021927,-1.541,0.628,0.6562372101281305,0.5340192897571391,-0.445,2.003,2.4553767442762138,1.5442056359523322,1.0,7.635378,2.4774318974072695,1.5865426101273332,1.0,7.957393,0.0,0.0,0.0,0.0,2.2625115937561677,0.006989182570248985,2.2453,2.2826,0.2835316206879171,0.05365463551218515,0.1515,0.3724,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.257583456336716,3.946187491812672,2.416491,20.208558,6.257583456336725
SSA1,VERAO,-0.3643511022279002,0.4713961427698983,-2.158,0.492,0.06844552123367013,0.21199573353336304,-0.493,0.747,2.5799747529823023,1.570975853975302,1.000245,7.634235,2.606152474118148,1.618762655860017,1.000245,7.966944,0.0,0.0,0.0,0.0,2.305401285677025,0.0034953542409121765,2.2935,2.3146,0.2508518700510145,0.06503931083487784,0.1536,0.3661,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.601171346244933,4.030894372588313,2.460817,20.429631,6.601171346244936
SAGA,VERAO,-0.09754650090935547,0.22678236440847144,-0.941,0.755,-0.205294432017976,0.17986672830753292,-0.728,0.269,2.3446485241613706,1.2284611063352524,1.000001,7.633514,2.3594584413886692,1.2557928436949213,1.000001,7.933526,0.0,0.0,0.0,0.0,2.2858061426110976,0.00318508708999044,2.2771,2.2941,0.3315650098311667,0.02805261617353895,0.2239,0.3789,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.142401830795211,3.2277302493097206,2.508764,20.461135,6.142401830795213
POLI,VERAO,-0.1134612165889909,0.34758215078762933,-1.157,0.741,0.4603199136486544,0.5165109104411089,-0.506,2.199,2.3994661165918774,1.4990339223637146,1.000765,7.642974,2.4199250127440406,1.5394885787615267,1.000766,7.974776,0.0,0.0,0.0,0.0,2.178551691882022,0.00638606215597065,2.1639,2.1973,0.25251020056509876,0.05882107443145548,0.0902,0.342,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.83798171661603,3.6567169637777757,2.277041,19.348085,5.837981716616036
