Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
BRAZ,VERAO,1,2020-01-01,0.08645059565034655,0.08217587169384447,0.23635384398816472,0.1192752253275713
BRAZ,VERAO,2,2020-01-01,0.09937688657118211,0.0727906748034433,0.25085057229822366,0.12318379732303365
BRAZ,VERAO,3,2020-01-01,0.09117378364737355,0.07702703731546562,0.27065807219545773,0.11935586831897381
BRAZ,VERAO,4,2020-01-01,0.08510091275525633,0.07483800101988719,0.27156431628573263,0.11332648299682818
BRAZ,VERAO,5,2020-01-08,0.08675088651918038,0.07689187789862313,0.19907546695459294,0.1159227208041654
BRAZ,VERAO,6,2020-01-08,0.08739243309212794,0.06885884218750574,0.25483969756582286,0.11126085344435337
BRAZ,VERAO,7,2020-01-08,0.08023168540604399,0.06562818080223679,0.3053266360278286,0.10365414347002966
BRAZ,VERAO,8,2020-01-08,0.0715182538078657,0.061377570503322466,0.20028393127391583,0.09424471756346144
BRAZ,VERAO,9,2020-01-08,0.06869937031214172,0.06715208807492634,0.2340595614738524,0.09606771785624682
BRAZ,VERAO,10,2020-01-08,0.08243956584930452,0.07797596799971611,0.3867737230441193,0.11347481483974568
BRAZ,VERAO,11,2020-01-08,0.07484208050713081,0.07406431823921451,0.2590091450228126,0.10529416057348809
BRAZ,VERAO,12,2020-01-15,0.08707933763178574,0.07350077466967185,0.23882135759354614,0.11395251168549296
BRAZ,VERAO,13,2020-01-15,0.0695747207937243,0.06918371247551484,0.2037334450871657,0.09811741866467646
BRAZ,VERAO,14,2020-01-15,0.07756234850971191,0.06984640515217656,0.21271793359477206,0.10437642559037939
BRAZ,VERAO,15,2020-01-15,0.09096981402897185,0.08198448579280916,0.24408763610487413,0.12246208790959368
BRAZ,VERAO,16,2020-01-15,0.07163752957269773,0.07476714778557475,0.24191595416860948,0.10354739026778569
BRAZ,VERAO,17,2020-01-15,0.06005083697635417,0.05829372307477021,0.23454266073633212,0.08369146414944993
BRAZ,VERAO,18,2020-01-15,0.08040138798541899,0.06913725757527868,0.2285889483829403,0.10603934918233092
BRAZ,VERAO,19,2020-01-22,0.07094106086026188,0.06185433934748978,0.254166621102369,0.09412010099916915
BRAZ,VERAO,20,2020-01-22,0.09300409951711962,0.07944941601857958,0.2233806438614397,0.12231914090886847
BRAZ,VERAO,21,2020-01-22,0.07425935077301264,0.06807690791548247,0.20168275475065786,0.1007418312746121
BRAZ,VERAO,22,2020-01-22,0.09904656792447038,0.0710953472707432,0.28830442582502086,0.121921167240001
BRAZ,VERAO,23,2020-01-22,0.07901456147162486,0.06526924269900365,0.23148595009597261,0.10248597448946185
BRAZ,VERAO,24,2020-01-22,0.07178247580214228,0.06799725958532177,0.2383506507125341,0.09887543245619093
BRAZ,VERAO,25,2020-01-22,0.06394580838688081,0.06102194993416467,0.2487850424601681,0.08838973234499228
BRAZ,VERAO,26,2020-01-29,0.06009356607653586,0.0655774165888461,0.21071180045489712,0.08894736786584552
BRAZ,VERAO,27,2020-01-29,0.07017988072367666,0.0705207002292002,0.24649268562468635,0.09949062679069924
BRAZ,VERAO,28,2020-01-29,0.07314555939879393,0.06668209621687543,0.27288406001965526,0.0989786583847201
BRAZ,VERAO,29,2020-01-29,0.06935097948138003,0.07382798313478207,0.2869968430872726,0.1012922970851015
BRAZ,VERAO,30,2020-01-29,0.09918450672997758,0.08304804952439321,0.2927805051703934,0.12936206903522776
BRAZ,VERAO,31,2020-01-29,1.3489968873334222,0.9557311998234926,4.692645181444286,1.6532436990205994
CUIB,VERAO,1,2020-01-01,0.04516936506213667,0.032177539010516065,0.22892435813527504,0.05545868333173675
CUIB,VERAO,2,2020-01-01,0.057044122107316166,0.032897405344257606,0.22898189541967623,0.06585036936402701
CUIB,VERAO,3,2020-01-01,0.049218274242843224,0.03642339975595279,0.28816367553660005,0.06122991563954393
CUIB,VERAO,4,2020-01-01,0.05691045426177255,0.037708266414647744,0.2539617969831711,0.0682694159948608
