Estacao_,Mes_,Tempo_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,2020-01-16,0.2707457582054213,11.022385644293735,-103.34331,120.273592,1.8678768340817546,14.872009463663893,-95.629813,121.627767,2.5032180880551924,1.526427545934821,1.003032,7.642393,2.5274313197302054,1.572030221687137,1.003036,7.951725,-9.948477756005515e-05,0.0014919065266948597,-0.006147,0.006195,2.0894607306226867,0.001765549248654107,2.0874,2.0938,0.19325939783365992,0.021513469648885425,0.168,0.232685,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.719271572533384,3.495700877865144,2.297387,17.75912,5.719271572533383
BRAZ,VERAO,2020-01-24,0.36583021890602513,11.668266623080603,-106.726532,124.108601,1.9549435189717665,15.589711032218204,-103.554058,127.402033,2.502184473992111,1.521772531778377,1.003253,7.644637,2.5237392740356426,1.562206976980619,1.003257,7.920177,3.130767043940229e-05,0.0005276688122143888,-0.003285,0.00309,2.0790399562907553,0.0014413044911750362,2.0768,2.0821,0.2903191509212701,0.006861467507292875,0.2796,0.3019,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.934754362275902,3.6170069492759764,2.368303,18.246474,5.934754362275902
BRAZ,VERAO,2020-01-09,0.6762642205269965,12.418019363373649,-101.662294,122.694951,1.766188250987897,15.178191993662558,-100.58664,124.066581,2.491930294588273,1.5285579484376486,1.002852,7.643565,2.5157269967439264,1.574244617866107,1.002856,7.930556,-8.561892421101128e-05,0.0013724544055471678,-0.006363,0.005869,2.089114253309234,0.0016222790511162522,2.086,2.0928,0.24052380701008275,0.004035245860744154,0.232312,0.2494,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.810734199949498,3.5711278496330694,2.33639,17.912647,5.810734199949499
BRAZ,VERAO,2020-01-20,0.3513798156145589,11.512938315469384,-105.011945,124.02395,1.94121336008033,15.412843586445144,-101.446853,126.493909,2.4985359341366316,1.520766239929011,1.003138,7.642991,2.5203866431941777,1.5618834468825704,1.003142,7.914891,-7.619751013009171e-05,0.0009307323834707097,-0.00436,0.004312,2.0850372250479845,0.0027970860826644086,2.0806,2.0898,0.26343817141181486,0.008003139829925328,0.246,0.285181,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.87408145080241,3.5841985583973917,2.356402,18.137723,5.87408145080241
BRAZ,VERAO,2020-01-23,0.3824501519483288,11.657243019215914,-106.347797,124.239388,1.956334241386663,15.612640138384617,-103.005984,127.256074,2.5011508343120883,1.520377367490033,1.003225,7.644122,2.5219236113781336,1.5593115327219307,1.003229,7.899722,-1.2703606140834059e-05,0.00026213851757705774,-0.002244,0.002056,2.0789023765880703,0.0016839653267798902,2.0756,2.0823,0.29428154595852807,0.004779536781482739,0.2853,0.301893,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.941769026608504,3.619312140932547,2.379527,18.265743,5.941769026608505
BRAZ,VERAO,2020-01-27,0.3563811989776886,11.49683870412151,-106.114678,123.063638,1.9419333531548655,15.34387878341893,-98.930098,125.101196,2.500822093668952,1.5208545373614382,1.003327,7.644311,2.5232547785732047,1.5630234420955536,1.003332,7.922939,7.02749360500231e-05,0.0009167989556061337,-0.003841,0.003805,2.087122212100757,0.001207261879090742,2.0847,2.09,0.2607000656197819,0.006735399744678804,0.2501,0.2776,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.877179238657761,3.580977596248536,2.353321,18.107756,5.877179238657761
BRAZ,VERAO,2020-01-18,0.3257708322092034,11.500082360855007,-105.174567,122.42746,1.9526134926525331,15.441627231174806,-101.990799,126.584384,2.4960711350728544,1.521060441185228,1.003082,7.643012,2.5181072635250117,1.5626707248881853,1.003086,7.918587,-2.8438782926223986e-05,0.0008200926546652706,-0.004023,0.003631,2.0923260787038678,0.0017422785317820785,2.0904,2.0965,0.25451730107774667,0.006251986467456171,0.2415,0.2652,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.863135903897969,3.579380138101706,2.35048,18.104691,5.863135903897968
BRAZ,VERAO,2020-01-04,0.6758005164930402,12.903922899379245,-107.859018,126.092699,1.813568867408978,15.539707962264718,-102.236496,127.228203,2.5043748482367536,1.5358009234898442,1.002714,7.64436,2.5266024447049817,1.5780744282916375,1.002717,7.913328,2.7043808400936177e-05,0.0004235019717448585,-0.001832,0.00241,2.0842499978707303,0.0017347386959006607,2.0802,2.0875,0.28312316184208214,0.004659976059505385,0.2728,0.290896,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.935112132459043,3.647796232410323,2.374431,18.227818,5.935112132459043
BRAZ,VERAO,2020-01-02,0.6551538765916903,12.656284812405746,-126.431472,124.179006,1.734874230044879,15.16097465956424,-99.625934,125.667312,2.5028119814161816,1.5297256467342095,1.002664,7.64455,2.524946386667201,1.5717447468144488,1.002668,7.915654,2.00895353600114e-05,0.0004702332923659463,-0.002196,0.002408,2.084085122010294,0.0017431065447351042,2.0805,2.0877,0.2634190145144343,0.00936825157657359,0.2514,0.288383,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.881570314415594,3.603276931415819,2.353306,18.206533,5.881570314415594
BRAZ,VERAO,2020-01-26,0.4006513932857448,11.713830087803172,-106.280307,124.15089,1.9101571424323507,15.633211218746617,-104.553709,127.752828,2.499146331970273,1.5190140172534097,1.003304,7.644327,2.51968207154731,1.5575525677317574,1.003308,7.893019,2.3116239377022365e-05,0.000823881183212398,-0.004096,0.004084,2.08698325816947,0.0015616038631623152,2.0837,2.0903,0.2881235380649291,0.0044088464158014125,0.277609,0.2994,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.9414669762027525,3.6183285025617598,2.379618,18.282762,5.94146697620275
