Estacao_,Mes_,grad_e_mean,grad_e_std,grad_e_min,grad_e_max,grad_n_mean,grad_n_std,grad_n_min,grad_n_max,m_h_mean,m_h_std,m_h_min,m_h_max,m_w_orig_mean,m_w_orig_std,m_w_orig_min,m_w_orig_max,m_w_mean,m_w_std,m_w_min,m_w_max,zhd_mean,zhd_std,zhd_min,zhd_max,zwd_mean,zwd_std,zwd_min,zwd_max,x_0_mean,x_0_std,x_0_min,x_0_max,x_1_mean,x_1_std,x_1_min,x_1_max,x_2_mean,x_2_std,x_2_min,x_2_max,tot_delay_mean,tot_delay_std,tot_delay_min,tot_delay_max,tot_delay_abs_<lambda>
BRAZ,VERAO,0.440001629944186,11.799369507031233,-126.431472,126.932221,1.862955876079683,15.218266361328483,-104.553709,128.622412,2.500670825526566,1.5258331110813859,1.00264,7.645159,2.523568560253352,1.5691408595726166,1.002643,7.980044,-1.085470391934728e-06,0.0008761158696915898,-0.007149,0.007334,2.086704217681513,0.004206526371473727,2.0756,2.0972,0.24413407905181259,0.0451760170152131,0.1071,0.3019,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.83428527547718,3.569487927851433,2.224859,18.296398,5.83428527547718
CUIB,VERAO,0.26779726842869517,15.530516346316377,-145.647621,149.00521,1.9360244228640697,17.49754547742985,-121.368406,149.65666,2.5383156493297268,1.5812429334755465,1.000572,7.635937,2.562168978416654,1.625085463035099,1.000572,7.942535,1.2498949723040687e-05,0.001100337144711506,-0.00963,0.011755,2.2305988336028686,0.004856387064687099,2.2185,2.2421,0.3077781866363753,0.029540418185960784,0.2291,0.3601,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.450629093386061,4.028553537455513,2.469145,19.830362,6.450629093386064
UFPR,VERAO,-0.6127766017802729,14.345493764633602,-136.960317,137.648891,0.7482879571087802,13.603095489973581,-110.287058,138.518608,2.387569833958614,1.5140464233909139,1.001382,7.646035,2.40848818648867,1.5559003809868048,1.001384,7.983117,1.975523555374984e-05,0.001307001601204276,-0.013727,0.014339,2.1535210370840954,0.006774442893202993,2.1395,2.1734,0.2305863451242559,0.050622998469730125,0.1105,0.3325,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.697002560907557,3.6220582455730423,2.265009,19.060006,5.6970025609075625
NAUS,VERAO,0.5685493952955339,19.443161835605032,-156.990493,159.850978,1.1983706306520154,16.568309185280782,-140.393932,145.98533,2.6693360291244885,1.5489065797792125,1.000191,7.634049,2.6934152238084264,1.59058656210166,1.000191,7.913839,-2.769180326153927e-05,0.0008537582433530775,-0.007378,0.007125,2.2979909443539457,0.0029357561264081304,2.2905,2.3056,0.341733541242402,0.02279446971895351,0.272518,0.379,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,7.054688432216048,4.10406525267427,2.575378,20.575361,7.054688432216055
POAL,VERAO,-0.463496089826991,16.095592421310727,-155.667495,154.197394,0.56912550761032,13.753046464136654,-126.44858,147.948018,2.379834413869088,1.5214078099993826,1.000064,7.639499,2.40210860461517,1.565330116607486,1.000064,7.976337,1.9702779738280144e-05,0.0014651759332283776,-0.01698,0.017082,2.282235478607177,0.008861080532214132,2.2624,2.3078,0.20759220182736673,0.06144100035638945,0.084,0.3845,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.92975903417753,3.799844742353654,2.402709,20.280354,5.929759034177522
PERC,VERAO,1.1954868935095015,19.51457019472228,-156.362902,155.323782,1.4166833256462499,16.661097582905875,-130.318468,147.236231,2.6984309596600444,1.583230219136836,1.000344,7.633907,2.7266540042659413,1.6321096508359307,1.000344,7.953705,3.172239454840121e-05,0.0012940588886864906,-0.009265,0.009212,2.29265379504967,0.002595659098050019,2.2835,2.2999,0.2426896440561361,0.04150751415828996,0.1679,0.3373,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.848299228059404,4.027814316334718,2.468619,20.120686,6.8482992280594015
ONRJ,VERAO,0.8387747399204825,16.638569591082344,-154.330359,154.87475,1.2456555988137654,15.960540205770176,-124.443896,157.236811,2.4553767442762138,1.5442056359524037,1.0,7.635378,2.4774318974072695,1.5865426101273665,1.0,7.957393,1.98348303344728e-05,0.0017740572321264978,-0.014619,0.01546,2.2625115937561677,0.0069891825702567585,2.2453,2.2826,0.2835316206879171,0.05365463551218415,0.1515,0.3724,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.257583455778168,3.946187493256882,2.416491,20.208558,6.257583455778174
SSA1,VERAO,-1.7322501180142813,14.256355301634347,-157.716238,121.835544,3.9742963045286985,19.89863215427515,-132.410498,161.10172,2.5799747529823023,1.570975853975394,1.000245,7.634235,2.6061524741182924,1.6187626558598558,1.000245,7.966944,0.00011634074530526275,0.001259559754014993,-0.011352,0.0146,2.305401285677025,0.0034953542409403827,2.2935,2.3146,0.2508518700510145,0.06503931083487821,0.1536,0.3661,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.601171345981649,4.030894374987414,2.460817,20.429636,6.601171345981655
SAGA,VERAO,0.2815433264468697,12.37996076009133,-156.135549,159.423724,-1.2158824268912978,8.95292245239395,-137.392492,136.905596,2.3446485241613706,1.2284611063353787,1.000001,7.633514,2.3594584413886692,1.255792843694949,1.000001,7.933526,3.941140739308133e-05,0.0006388686152054886,-0.006403,0.007488,2.2858061426110976,0.003185087089966177,2.2771,2.2941,0.3315650098311667,0.0280526161735397,0.2239,0.3789,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,6.142401830144234,3.2277302487671125,2.508763,20.461138,6.1424018301442285
POLI,VERAO,0.26432912121444585,13.821515281879254,-141.066471,142.896601,1.2020479158529953,14.515635447404923,-113.950832,142.724781,2.3994661165918774,1.499033922363879,1.000765,7.642974,2.4199250127440406,1.539488578761465,1.000766,7.974776,1.8773561732483457e-05,0.0015019104807116556,-0.014683,0.01659,2.178551691882022,0.0063860621559602366,2.1639,2.1973,0.25251020056509876,0.05882107443145953,0.0902,0.342,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,5.837981716801966,3.6567169649380276,2.277042,19.348089,5.837981716801958
