Estacao,Periodo,DOY,DataReferencia,RMSE_E,RMSE_N,RMSE_U,RMSE_Planimetrico
BRAZ,VERAO,1,2020-01-01,0.08643117188601167,0.08217949581709179,0.2363619156412031,0.11926364494824356
BRAZ,VERAO,4,2020-01-01,0.08511139875900856,0.07481944406812738,0.27156817371471026,0.11332210468120774
BRAZ,VERAO,30,2020-01-29,0.0991446094082153,0.08305100413431184,0.2927710638802055,0.12933337876366277
BRAZ,VERAO,13,2020-01-15,0.06958922117314432,0.06918227496923199,0.20374441431236764,0.09812668787543591
BRAZ,VERAO,22,2020-01-22,0.09906074629195076,0.07109821587069082,0.2882989958148221,0.12193435838972372
BRAZ,VERAO,17,2020-01-15,0.06004903177927211,0.05829962041326094,0.23452172375480007,0.0836942767335876
BRAZ,VERAO,12,2020-01-15,0.08707014320612057,0.07351653906084815,0.2388308948617353,0.11395565520595964
BRAZ,VERAO,5,2020-01-08,0.0867583727109632,0.07690010862598896,0.19906810082674684,0.11593378257498246
BRAZ,VERAO,15,2020-01-15,0.09096057162122596,0.08197317696164114,0.2440738801948386,0.12244765138966411
BRAZ,VERAO,11,2020-01-08,0.074821614185584,0.07407945359342548,0.2590060292982357,0.10529026257938986
BRAZ,VERAO,19,2020-01-22,0.07092016476298507,0.06186816287597327,0.2541625486332285,0.09411343871975408
BRAZ,VERAO,7,2020-01-08,0.08021889075455911,0.06562342624968628,0.30532807939919643,0.10364122976229057
BRAZ,VERAO,21,2020-01-22,0.07426403124307462,0.06806833665066309,0.2016829748217976,0.10073948972900532
BRAZ,VERAO,3,2020-01-01,0.09120425506569894,0.07704504651072464,0.27063405411140556,0.11939076737306278
BRAZ,VERAO,16,2020-01-15,0.07165306325463142,0.07475720799226673,0.24192367138911788,0.10355096146618456
BRAZ,VERAO,14,2020-01-15,0.07756443717227755,0.06985428062097698,0.21271725846885353,0.10438324786538496
BRAZ,VERAO,28,2020-01-29,0.07311068683732057,0.06668050729210738,0.2728814298854104,0.09895181950099526
BRAZ,VERAO,23,2020-01-22,0.07900969241514831,0.06527952559601635,0.23147329713679438,0.10248876990957252
BRAZ,VERAO,20,2020-01-22,0.09299429964213571,0.07945494886151737,0.2233991736225077,0.12231528385495274
BRAZ,VERAO,2,2020-01-01,0.09934485603465101,0.07277383448201565,0.2508475271552329,0.12314800609738408
BRAZ,VERAO,31,2020-01-29,1.3484080947236416,0.9562680898972662,4.692005756743736,1.6530738185791969
BRAZ,VERAO,26,2020-01-29,0.060104854424151394,0.06556622752112218,0.21073286879363717,0.08894674652116283
BRAZ,VERAO,6,2020-01-08,0.0873909334310037,0.06887022804305301,0.2548343391752983,0.11126672259325447
BRAZ,VERAO,9,2020-01-08,0.06868244077142277,0.06714865793066094,0.23404683406820723,0.09605321406495938
BRAZ,VERAO,27,2020-01-29,0.07018664297980003,0.07050104905717172,0.24651192047743087,0.09948146948520437
BRAZ,VERAO,29,2020-01-29,0.06934210966130804,0.07383202996458652,0.2869771759101137,0.10128917425358186
BRAZ,VERAO,24,2020-01-22,0.07176277330275532,0.06798845970684633,0.23835888039388556,0.09885507718580831
BRAZ,VERAO,18,2020-01-15,0.0804227507622646,0.06911780702671391,0.22858996398040293,0.10604286910656179
BRAZ,VERAO,10,2020-01-08,0.08244695872162977,0.07798059474801315,0.3867956778349342,0.11348336512326368
BRAZ,VERAO,8,2020-01-08,0.07152204299213286,0.06136916689630783,0.2002852740072867,0.09424212051580431
BRAZ,VERAO,25,2020-01-22,0.06397978484393092,0.061018599156350974,0.24876398002277209,0.08841200321041894
CUIB,VERAO,23,2020-01-22,0.05245773102629735,0.04697152006184397,0.24903664299424874,0.07041404150698616
CUIB,VERAO,21,2020-01-22,0.04144740007481124,0.03789858998681256,0.21660755430508666,0.05616217673799683
CUIB,VERAO,4,2020-01-01,0.05691165983777203,0.03771761539104391,0.2539569044878176,0.06827558521372765
CUIB,VERAO,15,2020-01-15,0.05103564930808104,0.04092688797540105,0.24766487737832557,0.06541901604005107
CUIB,VERAO,16,2020-01-15,0.055944893663965635,0.04594881830886448,0.2492826022415989,0.07239561472253317
CUIB,VERAO,2,2020-01-01,0.05702885742346778,0.032913827904087437,0.22897405225146097,0.06584535402233099
CUIB,VERAO,5,2020-01-08,0.08263508672460841,0.04674079952758373,0.27001754791138977,0.09493818988405733
CUIB,VERAO,12,2020-01-15,0.055544373639004836,0.03493039244573926,0.23226056532184414,0.06561485928783764
CUIB,VERAO,7,2020-01-08,0.047919109938678796,0.03113407376701663,0.23369390024142336,0.05714518043234458
CUIB,VERAO,31,2020-01-29,1.2060328152287494,0.7049587152920265,5.397607144193657,1.396954523839186
CUIB,VERAO,25,2020-01-22,0.041591508243945245,0.028332203878071338,0.1879466332222075,0.05032461956731284
CUIB,VERAO,1,2020-01-01,0.04515875792583984,0.03217919764051387,0.22893778129638614,0.05545100700791516
CUIB,VERAO,14,2020-01-15,0.07828456813529547,0.0399392523290047,0.29682266965408166,0.08788411394973283
CUIB,VERAO,17,2020-01-15,0.048680360674727106,0.03587809498463219,0.11734399499021907,0.06047326033171857
CUIB,VERAO,24,2020-01-22,0.044309807472210035,0.03683606532407365,0.24673448511971574,0.057621651718635605
CUIB,VERAO,22,2020-01-22,0.061193769349995215,0.043734575069942945,0.23813781209652296,0.07521562646025684
CUIB,VERAO,27,2020-01-29,0.06019504224251969,0.03647354743306206,0.2885362666650574,0.07038297218028347
CUIB,VERAO,6,2020-01-08,0.06165032328652582,0.03926511615173743,0.22819039146624875,0.07309248735501193
CUIB,VERAO,8,2020-01-08,0.038594830847166015,0.04169012384834725,0.20507152543265206,0.056812211668019835
CUIB,VERAO,11,2020-01-08,0.047103546533283205,0.038237732137193746,0.24568483505118832,0.06067015951033057
CUIB,VERAO,30,2020-01-29,0.048009795032190036,0.03684842980087165,0.22266642551524485,0.06052063447967697
CUIB,VERAO,28,2020-01-29,0.041938128387737854,0.02898488197528436,0.1596595242522212,0.05097970180167345
CUIB,VERAO,20,2020-01-22,0.04338434353790513,0.03681933977579097,0.15582458742375704,0.05690224113108475
CUIB,VERAO,10,2020-01-08,0.043510122193307764,0.034685595804127854,0.2588339226895629,0.05564369945972234
CUIB,VERAO,9,2020-01-08,0.05147628121294581,0.0334474505010089,0.2451152851758597,0.061388431096842
CUIB,VERAO,3,2020-01-01,0.049226929432512175,0.036424769391946096,0.28816352535455136,0.061237687796078535
CUIB,VERAO,19,2020-01-22,0.051861098823440734,0.029619593877053766,0.22269985095941114,0.05972347873840143
CUIB,VERAO,26,2020-01-29,0.051363427520690584,0.04095316402045586,0.2431677571776653,0.06569142508698982
CUIB,VERAO,18,2020-01-15,0.039396851709634376,0.03869288303200072,0.23332939977269454,0.05522002464649042
CUIB,VERAO,29,2020-01-29,0.04223638707317127,0.03693542107515784,0.2823495576518953,0.05610826786663409
CUIB,VERAO,13,2020-01-15,0.04991711331270588,0.04161740227179877,0.2607233118157997,0.06499020213329268
UFPR,VERAO,13,2020-01-15,0.13567363220673437,0.1058401263631545,0.4507925720272107,0.17207401554196597
UFPR,VERAO,27,2020-01-29,0.10203306597390016,0.08055066122001886,0.35903468357403096,0.12999675217103124
UFPR,VERAO,12,2020-01-15,0.14138044931102253,0.11425976704777925,0.46470858376930174,0.1817793327449504
UFPR,VERAO,26,2020-01-29,0.0986292214630399,0.09531905609322594,0.4371221076970669,0.1371621149622188
UFPR,VERAO,14,2020-01-15,0.12160633661935394,0.1045734615523648,0.44955404814261785,0.160386127726258
UFPR,VERAO,31,2020-01-29,2.000183048892141,1.076344649610731,5.000320069407526,2.271398255221023
UFPR,VERAO,4,2020-01-01,0.12545937746804142,0.10538279494969226,0.3916153735453427,0.16384623543456034
UFPR,VERAO,1,2020-01-01,0.12011795931973053,0.11071411412824479,0.4213117283120596,0.16335831542452453
UFPR,VERAO,30,2020-01-29,0.12219168744360713,0.10852263660221725,0.43304331859675116,0.16342573584173664
UFPR,VERAO,28,2020-01-29,0.12316306777104259,0.08961814336155585,0.3855842499140132,0.15231727703168413
UFPR,VERAO,3,2020-01-01,0.11453585573494872,0.11112940057031165,0.41238925050686404,0.15958761205072833
UFPR,VERAO,5,2020-01-08,0.15380137627010776,0.12964842695416748,0.4524258305630232,0.201155606320752
UFPR,VERAO,20,2020-01-22,0.1313813575542838,0.10761870404124468,0.497374865690394,0.1698318184920705
UFPR,VERAO,17,2020-01-15,0.1342023148605732,0.10335154764061306,0.44436968833114054,0.16938655115931234
UFPR,VERAO,23,2020-01-22,0.11571859503479062,0.09550117093357688,0.41018701007774216,0.15003755158796125
UFPR,VERAO,21,2020-01-22,0.13365923742498617,0.10772206748770355,0.503278253413397,0.17166489324510759
UFPR,VERAO,2,2020-01-01,0.12596475890322026,0.11334267298997497,0.40141870253987955,0.16945111981352856
UFPR,VERAO,29,2020-01-29,0.12592133426949442,0.0964027466175006,0.4454137275279816,0.15858648107454737
UFPR,VERAO,25,2020-01-22,0.11703859549023508,0.09885008454230004,0.4217623736212322,0.15319716723342747
UFPR,VERAO,19,2020-01-22,0.12461746192388248,0.09640744417028012,0.4789524309207198,0.15755604433913661
UFPR,VERAO,10,2020-01-08,0.10534673229890923,0.09091623669248607,0.34419769892271057,0.1391534983404377
UFPR,VERAO,18,2020-01-15,0.12492807316408144,0.10261418269134032,0.4171094886377159,0.16166846926318643
UFPR,VERAO,11,2020-01-08,0.08366607255429116,0.09069362710497667,0.38860894109945465,0.12339102760783083
UFPR,VERAO,8,2020-01-08,0.136891732204117,0.11720211710162652,0.40879614805438735,0.18021010681686822
UFPR,VERAO,22,2020-01-22,0.1182516344752152,0.10370454871110454,0.4360604232517104,0.15728344629818408
UFPR,VERAO,6,2020-01-08,0.14174887982450032,0.11275442948482607,0.4111566565585646,0.18112511228415915
UFPR,VERAO,24,2020-01-22,0.10346929917764454,0.09237218185681471,0.411005760252238,0.1387029770888187
UFPR,VERAO,15,2020-01-15,0.12971214699252542,0.10479059985962019,0.4077884596019716,0.1667522440519154
UFPR,VERAO,16,2020-01-15,0.12691692618316855,0.10586941682788198,0.49930768665110886,0.1652762522907017
UFPR,VERAO,9,2020-01-08,0.12556780279846583,0.10010527398608578,0.4254966799102416,0.1605874807681586
UFPR,VERAO,7,2020-01-08,0.11025763067019993,0.09243508254407108,0.3946563125184772,0.143878384776642
NAUS,VERAO,1,2020-01-01,0.07904673998984924,0.027831972959514135,0.12522234095963436,0.08380337595730829
NAUS,VERAO,10,2020-01-08,0.05087769190638379,0.027740839373957504,0.09024950209901056,0.05794906127706144
NAUS,VERAO,4,2020-01-01,0.06293065554881522,0.03205575527201061,0.09833908382794043,0.07062463347772266
NAUS,VERAO,12,2020-01-15,0.07443351389311172,0.02968116203118024,0.10853903569558429,0.08013313528121328
NAUS,VERAO,8,2020-01-08,0.06203748765690667,0.033592116359884114,0.10692140193799943,0.07054842419442721
NAUS,VERAO,20,2020-01-22,0.04382656169537513,0.02769400138158615,0.08026716007681761,0.05184327557708732
NAUS,VERAO,28,2020-01-29,0.057297582032456044,0.03627907500076331,0.15107806405736876,0.06781728533107942
NAUS,VERAO,18,2020-01-15,0.039383363540857225,0.03268247000248401,0.077822251761439,0.05117805358993823
NAUS,VERAO,23,2020-01-22,0.05444590882564874,0.03203081985754465,0.08186778262658764,0.06316906211585963
NAUS,VERAO,26,2020-01-29,0.05295620306461127,0.02927189501145932,0.08495020959910081,0.06050787783902391
NAUS,VERAO,29,2020-01-29,0.05859169389266446,0.028308915957182986,0.09101902006158545,0.06507212395398312
NAUS,VERAO,2,2020-01-01,0.06962312670641792,0.03174524731963159,0.12482506501332515,0.07651888982311819
NAUS,VERAO,24,2020-01-22,0.055739913500771454,0.03504657197977712,0.1066269949587351,0.06584223693501902
NAUS,VERAO,22,2020-01-22,0.03874842949385227,0.026855254369681447,0.14728491028879453,0.04714494114430874
NAUS,VERAO,30,2020-01-29,0.054623325741339296,0.028136185215151748,0.07086979126863027,0.061443898260981
NAUS,VERAO,27,2020-01-29,0.07836320952554646,0.03325743217791939,0.07824286197445156,0.08512842887199083
NAUS,VERAO,21,2020-01-22,0.0452804682680475,0.03171439069831142,0.13220386922544017,0.055282215801637315
NAUS,VERAO,3,2020-01-01,0.08040694799331764,0.03661970763930747,0.11750213538184898,0.08835315655475158
NAUS,VERAO,6,2020-01-08,0.06749523921917107,0.035170001605917475,0.09546715331923582,0.07610871389146821
NAUS,VERAO,15,2020-01-15,0.05837096390080125,0.029317731649377593,0.07119804263953866,0.06531997256409068
NAUS,VERAO,25,2020-01-22,0.051547590689058745,0.037828865569046265,0.11313640012186695,0.06393885497948576
NAUS,VERAO,14,2020-01-15,0.05147532215541885,0.030240824056487894,0.10826879863772063,0.05970105719850874
NAUS,VERAO,5,2020-01-08,0.09602512241742664,0.03774384842122132,0.14783297400551967,0.1031766554455314
NAUS,VERAO,16,2020-01-15,0.04885335774295892,0.026962054319780288,0.09302770208451434,0.05579966788345883
NAUS,VERAO,31,2020-01-29,1.8318136688566253,0.3983062651806901,5.438596681877027,1.8746170804439397
NAUS,VERAO,11,2020-01-08,0.06133867821126604,0.02623402273244064,0.10737558618670631,0.06671324751075648
NAUS,VERAO,17,2020-01-15,0.055668289870952785,0.029890606471782606,0.08448200605163789,0.06318549558567534
NAUS,VERAO,19,2020-01-22,0.042902831624173916,0.0256649627696527,0.0819834780492683,0.04999343232205483
NAUS,VERAO,13,2020-01-15,0.05213152284555614,0.029299283472752846,0.07351102943443945,0.0598008669353001
NAUS,VERAO,9,2020-01-08,0.06885586943274571,0.03335174286653072,0.10352539773441896,0.07650797022254942
NAUS,VERAO,7,2020-01-08,0.0657639615648128,0.03488941221842962,0.12344612227752885,0.07444575021883842
